Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,134.0,174.0,3.625,29.924999999999997,18.9,34.4,5.65,0.875,4.475,5.075,16.875,0.6499999999999999,,,,9.275,84.35,,248.25,0.0,0.0,4.6,996.75,
2023-01-01 01:00:00,112.0,138.0,1.85,26.425,15.549999999999999,33.3,5.625,0.8000000000000002,3.8,4.8500000000000005,10.15,0.55,,,,8.975,84.325,,252.425,0.0,0.0,4.6,996.4,
2023-01-01 02:00:00,103.0,134.0,3.9,31.7,20.0,32.1,6.2,0.8,3.1,5.1,12.975,0.6,,,,8.825,83.975,,244.525,0.0,0.0,4.574999999999999,995.975,
2023-01-01 03:00:00,114.0,139.0,7.475,29.1,21.575,31.475,5.449999999999999,0.925,2.6,5.45,13.275,0.85,,,,8.4,83.8,,226.3,0.0,0.0,4.6,995.575,
2023-01-01 04:00:00,136.0,169.0,15.3,25.9,26.25,31.875,5.666666666666667,1.0,2.775,7.475,17.9,2.0,,,,8.025,83.55,,218.875,0.0,0.0,4.574999999999999,995.5,
2023-01-01 05:00:00,145.0,182.0,18.05,27.05,29.125,35.675,7.4,1.1,2.65,8.15,21.6,3.25,,,,8.1,82.675,,209.55,0.0,0.0,4.574999999999999,995.825,
2023-01-01 06:00:00,200.0,238.0,12.9,29.7,26.325,35.7,7.025,1.0,2.975,7.925,18.85,2.55,,,,8.35,83.175,,219.875,0.0,0.0,4.625,996.375,
2023-01-01 07:00:00,168.0,212.0,17.625,30.2,30.45,30.45,6.5,1.0,2.825,7.275,17.175,2.325,,,,7.9,82.175,,224.025,0.0,0.0,15.125,997.025,
2023-01-01 08:00:00,143.0,193.0,20.575,31.775,33.75,31.3,6.675,1.05,5.275,7.45,17.3,1.95,,,,9.25,83.85,,218.7,0.0,0.0,91.94999999999999,997.55,
2023-01-01 09:00:00,169.0,208.0,10.275,41.974999999999994,30.7,33.325,6.675,0.9750000000000001,16.8,7.15,15.175,1.4,,,,12.025,83.875,,241.325,0.0,0.0,179.39999999999998,998.8,
2023-01-01 10:00:00,127.0,175.0,4.225,22.075,15.15,32.875,8.733333333333334,0.75,45.375,5.95,14.65,0.65,,,,16.075,63.3,,260.325,0.0,0.0,262.9,999.9,
2023-01-01 11:00:00,114.0,163.0,2.525,18.625,11.975,32.55,10.05,0.7,61.2,5.375,35.625,0.575,,,,18.225,55.8,,239.8,0.0,0.0,333.425,999.95,
2023-01-01 12:00:00,127.0,178.0,2.175,16.675,10.625,32.025,10.65,0.6749999999999999,74.7,4.85,27.675,0.475,,,,19.85,50.925,,220.75,0.0,0.0,348.225,999.075,
2023-01-01 13:00:00,112.0,154.0,1.625,12.25,7.875,28.85,11.55,0.5666666666666667,87.775,3.875,30.425,0.325,,,,20.325,48.1,,263.85,0.0,0.0,308.2,997.85,
2023-01-01 14:00:00,90.0,124.0,1.425,10.025,6.5,27.225,10.725,0.625,90.875,2.8,19.974999999999998,0.2,,,,20.4,46.25,,258.45,0.0,0.0,219.225,996.55,
2023-01-01 15:00:00,90.0,124.0,1.25,9.3,5.95,27.45,10.725,0.6,90.1,2.55,7.375,0.125,,,,19.975,46.775,,247.9,0.0,0.0,155.5,996.45,
2023-01-01 16:00:00,72.0,105.0,1.6,9.8,6.525,28.225,9.866666666666667,0.6,87.325,2.3,4.075,0.125,,,,19.35,48.5,,270.375,0.0,0.0,83.2,996.25,
2023-01-01 17:00:00,74.0,108.0,1.4,12.8,7.975,29.325,8.6,0.625,65.26666666666667,2.275,3.825,0.025,,,,16.65,56.225,,175.45,0.0,0.0,15.725,996.25,
2023-01-01 18:00:00,80.0,108.0,1.5250000000000001,17.25,10.4,33.075,8.05,0.8250000000000001,41.375,3.25,4.375,0.25,,,,13.725,68.45,,14.825000000000001,0.0,0.0,4.725,996.75,
2023-01-01 19:00:00,132.0,151.0,1.35,26.325,15.125,36.425,8.225,1.1666666666666667,21.625,4.55,4.9,0.5,,,,12.75,73.975,,14.875,0.0,0.0,4.7,997.15,
