Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,148.0,266.0,107.8,83.94999999999999,132.625,32.925,15.925,2.6999999999999997,8.3,9.525,20.075,,,,,14.25,86.675,0.425,230.5,,0.0,6.625,974.975,
2023-01-01 01:00:00,145.0,257.0,53.55,69.975,80.9,31.425,13.05,2.25,13.5,10.95,24.025,,,,,14.025,88.125,0.425,198.5,,0.0,6.625,975.0,
2023-01-01 02:00:00,158.66666666666666,238.75,35.5,63.949999999999996,62.8,39.9,12.25,2.4,8.65,9.275,21.0,,,,,13.875,89.65,0.5,216.25,,0.0,6.6,975.075,
2023-01-01 03:00:00,171.0,248.0,124.425,58.95,132.8,29.175,14.0,2.7,8.075,8.575,17.925,,,,,13.4,90.575,0.3,244.0,,0.0,6.625,975.075,
2023-01-01 04:00:00,132.66666666666666,204.25,163.175,62.9,166.5,27.55,15.65,2.9333333333333336,7.7749999999999995,7.75,19.525,,,,,13.125,92.825,0.3,239.0,,0.0,6.6,975.3249999999999,
2023-01-01 05:00:00,155.25,244.75,309.75,67.275,288.375,31.475,16.966666666666665,2.9,8.4,10.85,32.65,,,,,13.149999999999999,93.25,0.5,226.75,,0.0,6.6,975.375,
2023-01-01 06:00:00,175.25,288.5,336.225,67.775,310.175,35.175,15.525,2.575,8.225,9.875,28.625,,,,,13.075,93.525,0.6,208.0,,0.0,6.675,975.4,
2023-01-01 07:00:00,150.5,249.5,377.925,73.55,347.275,34.6,14.25,2.35,8.475000000000001,8.75,19.65,,,,,13.075,93.45,0.5,187.5,,0.0,39.4,975.4,
2023-01-01 08:00:00,139.0,245.25,209.27499999999998,80.525,213.45,23.3,11.575,1.9333333333333333,7.8999999999999995,7.925,15.35,,,,,13.775,90.775,0.725,218.0,,0.0,124.775,975.275,
2023-01-01 09:00:00,126.75,252.5,99.075,97.725,132.75,29.950000000000003,9.8,1.825,8.35,7.525,13.7,,,,,15.35,82.125,1.3,196.75,,0.0,124.30000000000001,974.775,
2023-01-01 10:00:00,151.5,271.0,113.425,117.725,155.1,28.65,9.7,1.7,9.275,8.55,15.675,,,,,17.675,68.875,1.325,190.75,,0.0,130.3,973.9,
2023-01-01 11:00:00,141.5,257.0,124.44999999999999,109.77499999999999,159.85,34.825,8.1,1.55,11.85,8.45,15.675,,,,,19.425,59.075,1.35,184.5,,0.0,134.14999999999998,973.05,
2023-01-01 12:00:00,123.75,228.25,66.0,101.025,107.55000000000001,42.075,12.35,1.8,18.275,7.625,15.7,,,,,20.225,54.225,1.625,194.0,,0.0,135.1,972.6,
2023-01-01 13:00:00,114.75,229.5,66.15,87.125,100.275,44.375,13.2,1.925,24.375,6.25,15.475,,,,,20.375,52.05,1.4,148.75,,0.0,132.85,972.5,
2023-01-01 14:00:00,96.75,196.75,194.35,134.225,229.75,57.625,13.55,2.325,18.7,5.3,14.675,,,,,20.55,50.375,1.2000000000000002,250.25,,0.0,129.675,972.3,
2023-01-01 15:00:00,91.0,208.75,119.7,120.625,161.725,54.8,11.45,1.85,16.175,4.775,13.75,,,,,19.85,53.05,1.15,211.25,,0.0,125.45,972.5,
2023-01-01 16:00:00,91.75,224.25,76.875,98.225,115.05,52.85,11.2,1.5999999999999999,17.475,4.325,17.45,,,,,18.95,57.45,0.75,145.75,,0.0,108.1,972.9,
2023-01-01 17:00:00,84.25,206.25,124.65,112.075,161.22500000000002,47.65,10.166666666666666,1.725,11.175,4.425,23.7,,,,,18.025,61.325,0.425,194.25,,0.0,34.3,973.2,
2023-01-01 18:00:00,93.5,238.0,397.65,120.625,388.4,47.15,12.85,2.5,8.25,5.275,25.175,,,,,16.925,67.5,0.3,350.0,,0.0,6.65,973.725,
2023-01-01 19:00:00,144.0,386.25,293.40000000000003,123.975,303.5,42.3,16.625,3.55,8.625,9.65,45.1,,,,,16.275,72.75,0.65,214.0,,0.0,6.65,974.1,
2023-01-01 20:00:00,202.0,451.75,358.73333333333335,121.1,359.3666666666666,38.3,18.575,3.1,27.15,12.9,47.8,,,,,15.875,77.675,0.44999999999999996,60.0,,0.0,6.65,974.525,
2023-01-01 21:00:00,250.0,500.75,450.05,119.1,422.9,33.575,21.7,3.7999999999999994,23.375,13.649999999999999,67.075,,,,,15.375,82.075,0.35,80.25,,0.0,6.6,974.925,
