Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,145.0,200.5,11.175,39.4,50.575,59.775,4.7,0.6999999999999998,2.15,2.35,16.775,,,,,13.65,94.35,0.375,181.575,0.0,0.0,5.225,990.1500000000001,
2023-01-01 01:00:00,138.75,182.25,11.125,36.525,47.625,61.1,4.2,0.2,,2.1500000000000004,16.65,,,,,13.125,94.65,0.2,136.375,0.0,0.0,5.55,989.95,
2023-01-01 02:00:00,138.5,177.75,9.1,35.6,44.7,57.0,4.2,0.1,2.0,2.125,19.95,,,,,12.8,93.975,0.25,145.825,0.0,0.0,5.6,989.675,
2023-01-01 03:00:00,140.0,179.75,22.75,34.05,56.75,52.550000000000004,4.225,0.15000000000000002,2.0250000000000004,2.225,14.8,,,,,12.575,93.10000000000001,0.35,152.175,0.0,0.0,5.825,989.4,
2023-01-01 04:00:00,142.75,189.75,39.075,31.925,70.975,48.125,4.275,0.225,2.25,3.175,14.1,,,,,12.8,93.05,0.9,184.725,0.0,0.0,5.675,989.45,
2023-01-01 05:00:00,144.0,212.25,19.725,33.8,53.475,47.475,3.65,0.05,2.1,,14.325,,,,,12.9,94.0,0.925,185.55,0.0,0.0,5.675,989.85,
2023-01-01 06:00:00,116.0,171.25,8.9,34.4,43.325,47.925,3.825,,2.4,4.175,9.075,,,,,13.125,94.725,1.2,190.5,0.0,0.0,5.825,990.55,
2023-01-01 07:00:00,97.0,142.0,13.775,34.975,48.725,52.625,3.4333333333333336,0.35,2.3499999999999996,2.45,5.075,,,,,13.025,94.775,1.0250000000000001,184.1,0.0,0.0,13.75,991.1999999999999,
2023-01-01 08:00:00,103.75,160.5,13.775,39.975,53.775,49.5,3.7,0.375,4.375,2.825,5.425,,,,,13.5,89.6,1.075,187.625,0.0,0.0,42.650000000000006,991.525,
2023-01-01 09:00:00,115.75,174.5,14.875,40.825,55.675,50.625,4.45,0.475,6.825,2.3499999999999996,5.025,,,,,14.9,79.625,0.9,183.525,0.0,0.0,69.275,991.975,
2023-01-01 10:00:00,147.75,218.5,11.325,38.1,49.45,53.825,5.15,0.575,12.725,2.5,6.55,,,,,16.525,70.1,1.225,187.4,0.0,0.0,121.725,991.95,
2023-01-01 11:00:00,153.25,235.0,9.325,32.575,41.9,55.575,6.1,0.475,19.1,2.5,7.05,,,,,18.625,58.15,0.875,193.425,0.0,0.0,209.14999999999998,991.575,
2023-01-01 12:00:00,142.0,222.0,6.6,26.175,32.775,56.45,6.65,0.4000000000000001,25.55,2.05,5.875,,,,,19.65,52.85,0.875,187.925,0.0,0.0,233.65,990.725,
2023-01-01 13:00:00,124.0,195.25,5.35,18.1,23.4,55.725,7.833333333333333,0.06666666666666667,30.25,1.625,5.0,,,,,20.175,48.95,0.325,181.65,0.0,0.0,223.45,989.8,
2023-01-01 14:00:00,92.0,149.25,5.425000000000001,17.175,22.6,56.35,7.775,0.0,31.65,1.175,3.4749999999999996,,,,,19.775,49.675,0.75,187.325,0.0,0.0,157.60000000000002,989.075,
2023-01-01 15:00:00,76.0,141.5,5.325,15.575,20.9,57.0,7.0,0.0,30.525,1.2,3.225,,,,,19.5,51.125,0.55,223.04999999999998,0.0,0.0,129.225,988.975,
2023-01-01 16:00:00,77.75,138.25,5.575,18.425,24.025,57.575,6.8,0.0,27.65,1.1,5.475,,,,,18.6,54.825,0.275,319.825,0.0,0.0,48.125,988.975,
2023-01-01 17:00:00,91.25,148.25,4.775,19.85,24.625,56.35,6.05,0.05,22.225,1.075,5.4,,,,,17.3,59.85,0.13333333333333333,105.52499999999999,0.0,0.0,13.4,988.975,
2023-01-01 18:00:00,99.0,163.25,17.8,45.724999999999994,63.5,54.575,5.475,0.39999999999999997,9.125,1.375,7.375,,,,,15.3,72.325,0.275,45.25,0.0,0.0,5.725,989.675,
2023-01-01 19:00:00,161.5,289.25,86.2,66.175,152.375,55.3,6.033333333333334,1.825,2.4,3.1,13.6,,,,,14.5,83.55,0.22499999999999998,109.975,0.0,0.0,5.55,990.025,
2023-01-01 20:00:00,283.25,488.0,154.75,66.175,220.9,58.324999999999996,5.925,3.0,2.4,4.366666666666666,21.025,,,,,14.1,88.975,0.225,87.55,0.0,0.0,5.725,990.575,
2023-01-01 21:00:00,349.25,561.5,169.325,61.150000000000006,230.475,53.150000000000006,6.25,3.35,2.25,,24.075,,,,,13.9,93.325,0.275,74.15,0.0,0.0,5.875,990.95,
2023-01-01 22:00:00,363.0,556.0,209.9,52.775,262.7,61.95,6.8500000000000005,4.625,2.5500000000000003,,23.75,,,,,13.649999999999999,94.65,0.225,62.375,0.0,0.0,5.9,991.15,
2023-01-01 23:00:00,446.75,668.25,150.95,51.125,202.075,60.75,6.9,3.425,2.2,,23.3,,,,,13.825,94.425,0.65,43.65,0.0,0.0,6.1,991.525,
2023-01-02 00:00:00,361.0,557.75,46.425,39.55,85.95,55.6,5.475,1.3,1.975,4.575,12.175,,,,,13.95,94.675,0.75,28.950000000000003,0.0,0.0,6.2,991.625,
2023-01-02 01:00:00,266.25,396.25,40.050000000000004,28.225,68.275,58.5,4.733333333333333,0.35,,4.0,8.525,,,,,13.649999999999999,94.125,0.825,29.7,0.0,0.0,6.275,991.3,
2023-01-02 02:00:00,260.0,374.25,46.1,28.0,74.1,60.0,4.2,0.6,4.475,4.425,9.5,,,,,13.8,93.55,0.7,31.775,0.0,0.0,6.3,991.25,
2023-01-02 03:00:00,259.25,395.5,47.9,31.775,79.7,53.5,4.85,0.6499999999999999,18.9,4.7,12.425,,,,,13.975,93.325,0.975,24.95,0.0,0.0,6.25,990.925,
