Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,149.08,366.48,18.55,23.74,42.35,,,2.13,29.74,,,,,,,,,,,,0.0,,,
2024-01-01 01:00:00,144.59,317.6,33.36,24.56,57.96,,,2.12,27.59,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,159.53,305.87,46.6,31.02,77.6,,,2.07,28.35,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,148.94,325.54,58.26,29.36,87.64,,,2.03,29.1,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,149.93,324.5,64.22,31.36,95.62,,,2.01,29.62,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,158.01,317.94,55.2,31.17,86.32,,,2.0,32.28,,,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,137.36,324.53,24.83,27.59,52.36,,,1.99,31.31,,,,,,,,,,,,0.0,,,
2024-01-01 07:00:00,95.11,293.73,18.91,21.28,40.06,,,1.99,29.59,,,,,,,,,,,,0.0,,,
2024-01-01 08:00:00,104.16,272.14,13.74,23.0,35.66,,,1.97,29.69,,,,,,,,,,,,0.0,,,
2024-01-01 09:00:00,109.13,297.59,12.38,22.1,32.31,,,1.95,30.75,,,,,,,,,,,,0.0,,,
2024-01-01 10:00:00,107.78,275.93,26.33,26.3,52.6,,,1.89,31.56,,,,,,,,,,,,0.0,,,
2024-01-01 11:00:00,144.23,278.12,47.82,24.49,72.34,,,1.84,35.81,,,,,,,,,,,,0.0,,,
2024-01-01 12:00:00,182.53,330.93,65.48,29.29,94.94,,,1.8,42.63,,,,,,,,,,,,0.0,,,
2024-01-01 13:00:00,207.71,382.32,80.48,30.6,111.07,,,1.8,47.72,,,,,,,,,,,,0.0,,,
2024-01-01 14:00:00,215.52,359.66,68.34,27.28,95.59,,,1.76,52.54,,,,,,,,,,,,0.0,,,
2024-01-01 15:00:00,182.18,340.9,31.01,24.08,55.05,,,1.75,47.96,,,,,,,,,,,,0.0,,,
2024-01-01 16:00:00,103.15,245.51,14.85,26.21,40.66,,,1.72,41.76,,,,,,,,,,,,0.0,,,
2024-01-01 17:00:00,78.14,221.42,12.62,21.48,33.01,,,1.69,34.18,,,,,,,,,,,,0.0,,,
2024-01-01 18:00:00,91.06,178.16,11.51,20.39,29.26,,,1.65,28.41,,,,,,,,,,,,0.0,,,
2024-01-01 19:00:00,70.9,207.36,26.24,23.19,49.42,,,1.63,26.22,,,,,,,,,,,,0.0,,,
2024-01-01 20:00:00,103.28,283.82,35.3,29.98,65.28,,,1.61,28.22,,,,,,,,,,,,0.0,,,
2024-01-01 21:00:00,136.85,340.9,42.5,26.48,69.02,,,1.58,31.62,,,,,,,,,,,,0.0,,,
2024-01-01 22:00:00,189.9,408.88,48.78,30.02,78.79,,,1.59,32.36,,,,,,,,,,,,0.0,,,
2024-01-01 23:00:00,219.62,427.71,37.22,24.54,61.7,,,1.57,35.18,,,,,,,,,,,,0.0,,,
2024-01-02 00:00:00,189.44,417.46,14.98,21.46,35.64,,,1.56,30.63,,,,,,,,,,,,0.0,,,
2024-01-02 01:00:00,129.56,345.44,10.18,22.8,27.88,,,1.54,27.68,,,,,,,,,,,,0.0,,,
2024-01-02 02:00:00,106.06,251.04,8.45,22.44,26.05,,,1.52,25.7,,,,,,,,,,,,0.0,,,
2024-01-02 03:00:00,79.09,167.67,11.36,20.24,26.56,,,1.48,25.48,,,,,,,,,,,,0.0,,,
2024-01-02 04:00:00,64.12,124.02,25.69,20.46,46.15,,,1.42,24.0,,,,,,,,,,,,0.0,,,
2024-01-02 05:00:00,65.9,132.99,35.11,24.42,59.56,,,1.33,25.2,,,,,,,,,,,,0.0,,,
2024-01-02 06:00:00,71.52,139.22,40.36,25.25,65.63,,,1.28,25.65,,,,,,,,,,,,0.0,,,
2024-01-02 07:00:00,79.48,124.78,50.47,17.66,68.11,,,1.24,25.41,,,,,,,,,,,,0.0,,,
2024-01-02 08:00:00,91.17,139.43,33.62,17.46,51.04,,,1.22,27.86,,,,,,,,,,,,0.0,,,
2024-01-02 09:00:00,82.28,154.72,13.12,18.44,30.19,,,1.25,28.06,,,,,,,,,,,,0.0,,,
2024-01-02 10:00:00,91.48,197.61,10.27,19.43,26.86,,,1.27,29.0,,,,,,,,,,,,0.0,,,
2024-01-02 11:00:00,115.38,242.97,10.4,21.74,28.92,,,1.29,32.13,,,,,,,,,,,,0.0,,,
2024-01-02 12:00:00,155.72,330.49,16.2,21.5,36.84,,,1.3,35.01,,,,,,,,,,,,0.0,,,
2024-01-02 13:00:00,180.48,359.58,41.77,30.96,72.76,,,1.33,38.35,,,,,,,,,,,,0.0,,,
2024-01-02 14:00:00,252.7,398.77,62.21,32.84,95.07,,,1.35,47.71,,,,,,,,,,,,0.0,,,
2024-01-02 15:00:00,284.82,476.94,78.17,30.78,108.99,,,1.4,57.15,,,,,,,,,,,,0.0,,,
2024-01-02 16:00:00,295.26,515.36,83.55,36.8,120.33,,,1.45,55.43,,,,,,,,,,,,0.0,,,
2024-01-02 17:00:00,296.26,479.57,45.52,22.24,67.77,,,1.47,48.98,,,,,,,,,,,,0.0,,,
2024-01-02 18:00:00,182.94,397.78,19.05,18.1,37.1,,,1.53,39.62,,,,,,,,,,,,0.0,,,
2024-01-02 19:00:00,132.28,397.05,11.9,19.63,29.64,,,1.6,33.05,,,,,,,,,,,,0.0,,,
2024-01-02 20:00:00,91.43,311.69,10.1,20.22,27.08,,,1.66,30.14,,,,,,,,,,,,0.0,,,
2024-01-02 21:00:00,132.6,357.52,14.85,15.76,30.04,,,1.74,31.96,,,,,,,,,,,,0.0,,,
2024-01-02 22:00:00,152.11,426.31,31.68,23.61,55.23,,,1.84,31.08,,,,,,,,,,,,0.0,,,
2024-01-02 23:00:00,150.72,367.0,43.07,28.11,71.23,,,1.88,31.67,,,,,,,,,,,,0.0,,,
2024-01-03 00:00:00,146.97,389.57,52.57,24.21,76.79,,,1.9,30.35,,,,,,,,,,,,0.0,,,
2024-01-03 01:00:00,150.92,329.97,55.19,23.74,78.93,,,1.87,28.06,,,,,,,,,,,,0.0,,,
2024-01-03 02:00:00,148.98,296.05,35.99,24.85,60.87,,,1.85,29.58,,,,,,,,,,,,0.0,,,
2024-01-03 03:00:00,107.66,287.73,14.21,24.68,38.62,,,1.84,28.76,,,,,,,,,,,,0.0,,,
2024-01-03 04:00:00,89.3,283.92,11.01,25.29,34.05,,,1.82,28.34,,,,,,,,,,,,0.0,,,
2024-01-03 05:00:00,92.46,284.28,12.34,21.92,31.33,,,1.82,27.87,,,,,,,,,,,,0.0,,,
2024-01-03 06:00:00,92.97,312.05,17.86,22.01,38.83,,,1.78,26.44,,,,,,,,,,,,0.0,,,
2024-01-03 07:00:00,120.78,323.58,34.52,25.49,59.99,,,1.74,26.92,,,,,,,,,,,,0.0,,,
2024-01-03 08:00:00,122.61,310.0,42.12,27.65,69.74,,,1.71,28.09,,,,,,,,,,,,0.0,,,
2024-01-03 09:00:00,152.35,324.5,43.52,29.76,73.38,,,1.74,30.5,,,,,,,,,,,,0.0,,,
2024-01-03 10:00:00,177.1,338.32,11.95,33.01,33.02,,,1.34,23.24,,,,,,,,,,,,0.0,,,
2024-01-03 11:00:00,168.89,342.7,2.64,34.71,20.08,,,1.73,21.45,,,,,,,,,,,,0.0,,,
2024-01-03 12:00:00,164.43,368.16,12.16,30.26,40.05,,,1.73,25.54,,,,,,,,,,,,0.0,,,
2024-01-03 13:00:00,185.45,359.4,21.78,24.34,46.14,,,1.73,32.02,,,,,,,,,,,,0.0,,,
2024-01-03 14:00:00,198.66,390.72,9.9,25.24,35.06,,,1.73,36.69,,,,,,,,,,,,0.0,,,
2024-01-03 15:00:00,190.06,390.7,14.56,35.0,49.55,,,1.73,37.53,,,,,,,,,,,,0.0,,,
2024-01-03 16:00:00,191.49,405.84,14.57,36.59,51.11,,,1.45,42.14,,,,,,,,,,,,0.0,,,
2024-01-03 17:00:00,222.52,430.58,6.37,36.75,41.09,,,1.75,19.12,,,,,,,,,,,,0.0,,,
2024-01-03 18:00:00,189.4,382.88,17.77,30.41,48.19,,,1.65,12.19,,,,,,,,,,,,0.0,,,
2024-01-03 19:00:00,181.28,409.21,27.89,29.22,57.1,,,1.63,11.57,,,,,,,,,,,,0.0,,,
2024-01-03 20:00:00,166.58,372.68,38.07,24.2,62.25,,,1.66,11.12,,,,,,,,,,,,0.0,,,
2024-01-03 21:00:00,149.49,357.96,18.16,24.33,42.52,,,1.76,11.89,,,,,,,,,,,,0.0,,,
2024-01-03 22:00:00,109.97,358.46,10.44,22.3,32.62,,,1.88,11.08,,,,,,,,,,,,0.0,,,
2024-01-03 23:00:00,84.61,294.22,7.64,22.99,29.99,,,1.89,11.08,,,,,,,,,,,,0.0,,,
2024-01-04 00:00:00,82.28,292.33,14.0,22.46,36.32,,,1.83,10.6,,,,,,,,,,,,0.0,,,
2024-01-04 01:00:00,95.54,305.48,23.15,25.01,48.14,,,1.78,10.98,,,,,,,,,,,,0.0,,,
2024-01-04 02:00:00,125.77,284.4,30.58,23.93,54.51,,,1.71,11.11,,,,,,,,,,,,0.0,,,
2024-01-04 03:00:00,131.71,261.29,37.52,23.57,61.08,,,1.64,11.48,,,,,,,,,,,,0.0,,,
2024-01-04 04:00:00,139.73,283.08,41.22,22.96,64.18,,,1.57,12.11,,,,,,,,,,,,0.0,,,
2024-01-04 05:00:00,133.13,288.31,19.37,19.98,39.36,,,1.57,12.45,,,,,,,,,,,,0.0,,,
2024-01-04 06:00:00,104.75,283.05,9.54,19.96,29.12,,,1.55,11.48,,,,,,,,,,,,0.0,,,
2024-01-04 07:00:00,103.23,271.8,7.64,20.53,27.49,,,1.54,11.2,,,,,,,,,,,,0.0,,,
2024-01-04 08:00:00,115.62,307.3,7.64,21.44,28.24,,,1.56,11.85,,,,,,,,,,,,0.0,,,
2024-01-04 09:00:00,129.26,363.27,19.77,21.05,40.82,,,1.55,11.45,,,,,,,,,,,,0.0,,,
2024-01-04 10:00:00,151.54,390.13,32.62,25.92,58.53,,,1.56,12.66,,,,,,,,,,,,0.0,,,
2024-01-04 11:00:00,205.28,376.92,45.02,27.82,72.8,,,1.57,12.32,,,,,,,,,,,,0.0,,,
2024-01-04 12:00:00,220.6,417.23,55.4,26.28,81.67,,,1.54,12.52,,,,,,,,,,,,0.0,,,
