Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,181.5,277.75,24.375,14.1,38.45,58.825,1.775,1.175,7.6,,,,,,,10.95,90.1,0.275,110.8,0.0,0.0,5.6,997.0,
2023-01-01 01:00:00,167.5,239.5,13.375,12.55,25.875,63.35,1.225,1.075,5.2,,,,,,,10.7,90.1,0.25,23.45,0.0,0.0,5.6,996.625,
2023-01-01 02:00:00,158.0,227.5,,,,,,,4.875,,,,,,,10.674999999999999,90.05,0.425,22.175,0.0,0.0,5.625,996.225,
2023-01-01 03:00:00,159.5,230.5,12.375,12.95,25.299999999999997,55.35,1.025,1.0,5.5,,,,,,,10.625,89.975,0.275,73.75,0.0,0.0,5.6,995.8,
2023-01-01 04:00:00,158.0,234.75,16.1,12.95,29.025,49.775,1.5,0.95,1.8250000000000002,,,,,,,10.350000000000001,89.92500000000001,0.325,65.975,0.0,0.0,5.6,995.75,
2023-01-01 05:00:00,160.25,252.5,31.95,12.775,44.675,41.3,1.75,0.95,3.4,,,,,,,10.425,89.85,0.4,43.225,0.0,0.0,5.6,996.05,
2023-01-01 06:00:00,138.25,220.75,42.2,12.6,54.8,40.4,1.9249999999999998,1.0,4.875,,,,,,,10.4,89.85,0.6,29.025000000000002,0.0,0.0,5.625,996.625,
2023-01-01 07:00:00,134.5,203.25,37.800000000000004,12.325,49.575,41.2,1.8,1.025,5.05,,,,,,,10.1,89.75,0.4,34.375,0.0,0.0,15.625,997.25,
2023-01-01 08:00:00,143.25,214.75,25.7,17.225,42.9,46.85,1.625,1.125,8.425,,,,,,,11.6,89.7,0.275,36.449999999999996,0.0,0.0,90.55,997.725,
2023-01-01 09:00:00,148.0,226.75,11.625,27.725,39.35,51.275,1.625,0.95,7.425,,,,,,,13.775,82.975,0.275,56.0,0.0,0.0,187.0,998.725,
2023-01-01 10:00:00,124.25,192.25,7.4,15.549999999999999,22.975,49.025,1.7,0.875,11.85,,,,,,,15.9,67.925,0.475,88.8,0.0,0.0,256.32500000000005,999.575,
