Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,351.79,532.69,54.61,46.22,100.83,NA,NA,2.97,24.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 01:00:00,320.85,494.81,48.25,40.17,88.43,NA,NA,2.83,24.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 02:00:00,345.26,547.38,49.83,38.64,88.45,NA,NA,2.75,24.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 03:00:00,383.11,528.82,52.64,38.37,91.02,NA,NA,2.83,24.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 04:00:00,365.91,554.79,45.56,34.33,79.89,NA,NA,2.90,23.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 05:00:00,349.83,539.12,45.02,33.22,78.25,NA,NA,3.10,23.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 06:00:00,337.29,527.00,53.13,36.07,89.18,NA,NA,3.06,23.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 07:00:00,390.24,613.35,55.18,37.23,92.41,NA,NA,2.76,25.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 08:00:00,398.15,557.42,48.52,38.85,87.40,NA,NA,3.20,24.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 09:00:00,331.05,487.85,33.80,56.53,90.35,NA,NA,3.43,24.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 10:00:00,276.37,429.00,20.17,37.75,57.93,NA,NA,3.53,23.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 11:00:00,358.94,473.11,17.64,32.14,49.78,NA,NA,3.46,23.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 12:00:00,246.55,382.37,16.21,25.56,41.77,NA,NA,3.71,24.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 13:00:00,169.29,294.39,16.20,25.15,41.35,NA,NA,3.91,27.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 14:00:00,104.65,205.67,16.33,21.38,37.71,NA,NA,4.09,29.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 15:00:00,90.84,187.68,17.45,27.20,44.65,NA,NA,4.07,28.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 16:00:00,106.64,227.56,18.84,34.81,53.65,NA,NA,3.91,25.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 17:00:00,143.90,337.08,28.86,44.86,73.70,NA,NA,3.47,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 18:00:00,382.72,583.22,43.45,51.66,95.11,NA,NA,2.04,29.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 19:00:00,509.02,776.00,53.44,50.37,103.78,NA,NA,1.72,23.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 20:00:00,705.61,930.41,72.46,60.23,132.68,NA,NA,1.42,25.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 21:00:00,532.07,814.52,98.37,74.68,173.00,NA,NA,1.29,25.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 22:00:00,741.96,900.61,105.79,72.57,178.35,NA,NA,0.97,25.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 23:00:00,577.25,902.87,119.80,78.45,198.26,NA,NA,0.97,25.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 00:00:00,625.43,884.51,119.77,75.37,195.19,NA,NA,1.09,25.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 01:00:00,668.51,973.43,69.65,56.78,126.48,NA,NA,1.88,25.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 02:00:00,511.60,709.72,53.89,47.49,101.40,NA,NA,2.44,24.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 03:00:00,401.67,589.26,43.58,39.66,83.24,NA,NA,2.76,23.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 04:00:00,217.10,533.38,38.59,37.03,75.62,NA,NA,2.94,23.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 05:00:00,NA,550.47,36.77,34.96,71.74,NA,NA,2.95,23.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 06:00:00,NA,525.41,48.87,40.72,89.56,NA,NA,2.72,24.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 07:00:00,NA,777.24,60.38,46.98,107.36,NA,NA,2.20,25.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 08:00:00,NA,923.93,52.01,50.48,102.52,NA,NA,1.97,25.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 09:00:00,NA,939.12,32.16,47.88,80.06,NA,NA,2.22,24.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 10:00:00,NA,808.66,20.57,42.77,63.35,NA,NA,2.77,37.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 11:00:00,47.65,509.01,17.95,33.00,50.94,NA,NA,3.21,24.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 12:00:00,299.99,358.28,17.72,28.08,45.80,NA,NA,3.54,23.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 13:00:00,196.81,220.49,17.22,24.34,41.56,NA,NA,3.79,25.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 14:00:00,162.19,221.09,16.51,25.66,42.17,NA,NA,3.78,28.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 15:00:00,166.91,301.39,15.81,26.86,42.67,NA,NA,3.83,29.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 16:00:00,162.52,288.84,15.90,29.52,45.41,NA,NA,3.78,28.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 17:00:00,243.86,410.16,20.52,36.86,57.35,NA,NA,3.26,25.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 18:00:00,412.60,625.35,28.79,46.03,74.84,NA,NA,2.65,27.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 19:00:00,375.23,636.49,33.39,45.73,79.10,NA,NA,2.73,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 20:00:00,329.61,633.05,74.07,59.84,133.90,NA,NA,1.56,25.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 21:00:00,250.27,721.00,74.10,57.27,131.37,NA,NA,1.86,24.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 22:00:00,NA,634.60,87.11,60.76,147.87,NA,NA,1.81,24.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 23:00:00,NA,633.29,85.23,59.71,144.93,NA,NA,1.80,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 00:00:00,NA,794.60,80.72,55.33,136.06,NA,NA,1.87,26.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 01:00:00,NA,814.72,88.36,57.68,146.06,NA,NA,2.01,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 02:00:00,NA,809.80,78.31,53.02,131.33,NA,NA,2.19,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 03:00:00,NA,834.09,61.96,47.08,109.07,NA,NA,2.52,26.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 04:00:00,NA,807.93,46.37,38.90,85.28,NA,NA,2.77,25.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 05:00:00,NA,738.50,55.23,39.65,94.88,NA,NA,2.65,25.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 06:00:00,NA,696.31,43.45,34.96,78.43,NA,NA,2.72,25.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 07:00:00,NA,815.51,38.13,32.92,71.04,NA,NA,2.59,27.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 08:00:00,NA,746.74,34.44,33.01,67.47,NA,NA,2.87,24.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 09:00:00,NA,671.67,27.33,37.72,65.05,NA,NA,3.05,24.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 10:00:00,NA,724.31,20.78,61.23,82.01,NA,NA,3.20,23.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 11:00:00,252.01,710.27,18.10,37.89,55.99,NA,NA,3.35,23.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 12:00:00,409.27,488.47,20.65,32.96,53.60,NA,NA,3.32,28.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 13:00:00,220.71,295.65,28.84,27.78,56.61,NA,NA,3.68,40.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 14:00:00,206.64,322.13,38.65,31.25,69.90,NA,NA,3.76,44.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 15:00:00,162.75,297.48,34.06,29.20,63.26,NA,NA,3.74,48.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 16:00:00,304.92,239.97,30.67,27.70,58.38,NA,NA,3.78,49.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 17:00:00,588.36,258.04,29.53,33.54,63.07,NA,NA,4.12,36.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 18:00:00,308.89,432.08,28.94,37.78,66.72,NA,NA,4.05,28.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 19:00:00,268.51,460.42,28.95,35.37,64.31,NA,NA,4.01,28.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 20:00:00,276.87,457.73,29.66,34.39,64.05,NA,NA,3.92,25.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 21:00:00,281.01,513.91,29.82,32.64,62.46,NA,NA,3.80,24.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 22:00:00,235.25,406.43,29.43,31.47,60.91,NA,NA,3.90,24.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 23:00:00,242.57,716.30,37.62,34.50,72.11,NA,NA,3.83,24.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-04 00:00:00,252.15,467.29,32.02,30.55,62.57,NA,NA,3.93,24.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-04 01:00:00,230.94,431.06,32.23,29.16,61.39,NA,NA,4.06,23.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-04 02:00:00,243.87,444.30,35.69,29.21,64.89,NA,NA,4.13,23.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-04 03:00:00,201.53,384.12,39.74,30.12,69.86,NA,NA,4.23,24.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
