Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,67.35,622.57,117.02,241.84,220.23,80.52,20.09,3.44,1.56,14.56,63.53,0.88,NA,5.48,6.48,17.16,70.79,2.13,316.77,0.00,0.00,NA,NA,NA
2022-01-01 01:00:00,66.20,592.90,121.14,258.64,232.32,83.58,20.19,3.37,0.78,14.52,62.77,0.86,NA,5.29,6.34,16.29,70.56,1.26,334.89,0.00,0.00,NA,NA,NA
2022-01-01 02:00:00,65.62,562.30,119.53,257.42,230.40,83.00,20.20,3.16,2.98,13.85,61.56,0.84,NA,5.12,6.22,15.37,68.84,0.37,119.58,0.00,0.00,NA,NA,NA
2022-01-01 03:00:00,58.62,499.35,113.85,189.74,190.42,71.58,19.08,2.63,0.78,13.22,59.24,0.80,NA,4.89,5.88,15.24,69.58,0.40,150.27,0.00,0.00,NA,NA,NA
2022-01-01 04:00:00,159.82,487.22,91.86,84.38,117.67,51.12,18.34,2.00,2.88,11.90,54.24,0.73,NA,4.31,5.35,15.11,70.15,0.53,97.88,0.00,0.00,NA,NA,NA
2022-01-01 05:00:00,149.45,418.90,83.11,55.91,95.76,45.02,15.47,1.61,2.04,10.55,46.78,0.62,NA,3.34,4.47,14.94,70.84,NA,NA,0.00,0.00,NA,NA,NA
2022-01-01 06:00:00,85.10,386.18,91.85,106.02,128.99,54.53,17.88,1.75,0.78,9.56,41.88,0.53,NA,2.66,3.74,14.18,72.85,0.36,301.22,0.00,0.00,NA,NA,NA
2022-01-01 07:00:00,133.55,421.38,90.12,132.17,141.29,57.74,17.94,1.78,2.82,9.12,40.15,0.47,NA,2.24,3.32,14.54,73.95,0.50,328.75,0.00,0.00,NA,NA,NA
2022-01-01 08:00:00,103.17,431.27,93.28,125.13,140.13,57.64,17.99,1.83,2.53,8.57,37.25,0.43,NA,1.89,3.00,16.48,69.77,NA,NA,0.00,0.00,NA,NA,NA
2022-01-01 09:00:00,120.45,415.28,101.88,76.77,121.70,52.26,17.70,2.02,2.55,8.36,34.40,0.38,NA,1.63,2.78,18.62,64.71,NA,NA,0.00,0.00,NA,NA,NA
2022-01-01 10:00:00,116.12,418.22,80.60,78.90,105.78,47.62,17.72,1.91,4.34,8.30,30.80,0.36,NA,1.40,2.56,18.95,60.59,1.34,80.36,0.00,0.00,NA,999.70,NA
2022-01-01 11:00:00,130.65,400.60,62.86,49.44,76.18,39.28,17.86,1.76,16.52,8.48,29.29,0.34,NA,1.32,2.49,19.86,57.37,1.30,76.10,0.00,0.00,NA,999.80,NA
2022-01-01 12:00:00,159.62,388.70,49.28,34.72,57.60,33.82,19.41,1.56,30.28,7.90,28.12,0.32,NA,1.26,2.41,20.78,54.69,1.59,75.09,0.00,0.00,NA,999.80,NA
2022-01-01 13:00:00,197.18,368.52,39.86,21.93,43.37,29.90,19.32,1.48,36.17,7.26,25.89,0.29,NA,1.10,2.23,21.84,51.44,1.48,71.32,0.00,0.00,NA,999.80,NA
2022-01-01 14:00:00,144.43,299.05,34.06,6.56,30.68,26.21,19.17,1.37,45.51,6.77,25.29,0.28,NA,1.06,2.15,21.78,48.91,1.61,62.21,0.00,0.00,NA,999.77,NA
2022-01-01 15:00:00,95.30,282.32,29.93,1.09,23.89,24.35,20.07,1.36,43.48,6.36,24.04,0.26,NA,1.00,2.06,21.88,47.52,1.76,71.68,0.00,0.00,NA,999.30,NA
2022-01-01 16:00:00,145.13,279.40,28.85,1.41,23.47,24.18,19.99,1.51,19.15,6.61,24.03,0.26,NA,0.98,1.98,19.60,49.59,1.97,71.60,0.00,0.00,NA,999.23,NA
2022-01-01 17:00:00,98.18,273.50,39.96,6.41,35.02,28.98,17.27,1.64,6.21,6.81,26.00,0.28,NA,1.06,2.11,18.16,54.28,1.90,77.40,0.00,0.00,NA,999.25,NA
2022-01-01 18:00:00,91.28,298.42,63.04,44.03,73.48,39.03,19.29,2.09,1.85,6.70,27.33,0.31,NA,1.18,2.31,17.40,59.67,0.74,70.10,0.00,0.00,NA,999.28,NA
2022-01-01 19:00:00,128.22,491.52,94.14,120.30,138.29,57.12,20.09,2.82,3.97,8.51,31.53,0.37,NA,1.56,2.76,17.03,63.95,0.68,68.81,0.00,0.00,NA,999.32,NA
2022-01-01 20:00:00,145.17,611.35,145.99,239.18,242.02,86.95,20.95,4.01,2.09,10.72,43.70,0.56,NA,2.87,4.14,16.78,67.63,0.65,66.64,0.00,0.00,NA,999.52,NA
2022-01-01 21:00:00,128.90,733.30,194.92,384.28,371.67,119.47,14.47,4.97,1.77,15.10,55.89,0.77,NA,4.28,5.78,16.64,70.10,0.89,67.86,0.00,0.00,NA,999.70,NA
2022-01-01 22:00:00,165.52,848.80,254.50,305.32,459.02,162.30,19.30,6.07,3.04,17.40,64.26,0.89,NA,4.92,6.78,16.38,72.83,1.16,69.31,0.00,0.00,NA,999.82,NA
2022-01-01 23:00:00,203.07,903.40,311.52,405.53,NA,204.42,19.57,6.42,1.98,17.57,66.96,0.96,NA,5.26,7.33,15.89,75.11,1.33,70.25,0.00,0.00,NA,999.83,NA
2022-01-02 00:00:00,214.92,981.80,329.58,NA,NA,276.12,6.28,5.13,0.75,17.70,66.86,1.03,NA,5.54,7.80,16.14,78.00,1.96,73.68,0.00,0.00,NA,1000.00,NA
2022-01-02 01:00:00,217.18,864.15,324.52,NA,NA,274.22,6.17,4.79,0.15,17.54,67.55,1.06,NA,5.65,7.89,16.07,79.15,2.35,75.97,0.00,0.00,NA,1000.00,NA
2022-01-02 02:00:00,226.90,784.70,330.86,NA,NA,280.63,6.18,4.50,0.13,16.95,69.00,1.05,NA,5.43,7.71,16.38,80.59,2.96,78.99,0.00,0.00,NA,NA,NA
2022-01-02 03:00:00,182.12,729.10,264.16,447.26,NA,220.11,6.81,3.64,0.56,16.58,67.14,1.01,NA,5.19,7.50,16.31,79.18,2.72,78.12,0.00,0.00,NA,NA,NA
2022-01-02 04:00:00,171.82,558.00,215.94,353.88,NA,179.54,6.59,3.02,0.78,14.72,61.72,0.94,NA,4.65,6.85,16.53,78.81,2.88,79.95,0.00,0.00,NA,NA,NA
2022-01-02 05:00:00,159.65,575.38,178.24,290.31,452.72,150.81,6.29,2.52,0.68,12.68,54.86,0.84,NA,4.05,6.10,16.33,77.66,2.63,60.58,0.00,0.00,NA,999.80,NA
2022-01-02 06:00:00,52.18,601.05,149.66,239.16,388.82,128.06,7.24,2.27,0.54,10.93,47.73,0.75,NA,3.42,5.39,15.60,76.56,1.76,114.33,0.00,0.00,NA,NA,NA
2022-01-02 07:00:00,45.95,524.22,138.32,219.00,357.32,119.19,7.27,2.13,0.52,10.26,44.51,0.68,NA,3.04,4.87,15.54,77.30,1.49,126.40,0.00,0.00,NA,NA,NA
2022-01-02 08:00:00,17.60,489.12,123.62,187.37,310.98,106.21,7.14,1.97,1.32,9.70,42.31,0.63,NA,2.81,4.56,16.51,73.57,1.08,119.67,0.00,0.00,NA,1000.00,NA
2022-01-02 09:00:00,40.47,501.68,112.08,165.54,277.62,96.50,7.13,1.95,0.80,8.98,39.01,0.57,NA,2.51,4.20,18.12,65.82,NA,NA,0.00,0.00,NA,NA,NA
2022-01-02 10:00:00,70.65,523.60,99.22,139.29,238.50,85.47,7.12,1.84,1.60,8.89,37.10,0.55,NA,2.29,3.93,18.73,60.45,1.10,81.91,0.00,0.00,NA,999.55,NA
2022-01-02 11:00:00,70.65,489.25,83.09,109.06,192.15,71.90,6.91,1.61,5.89,8.37,34.60,0.51,NA,2.08,3.69,19.58,53.93,0.98,81.44,0.00,0.00,NA,999.40,NA
2022-01-02 12:00:00,56.50,506.55,66.52,85.89,152.40,60.86,7.04,1.38,13.94,8.08,32.02,0.47,NA,1.86,3.41,21.28,48.71,1.07,73.50,0.00,0.00,NA,999.63,NA
2022-01-02 13:00:00,46.22,302.95,56.05,66.82,122.87,52.23,7.06,1.21,20.61,7.52,29.52,0.43,NA,1.66,3.12,22.39,46.39,NA,NA,0.00,0.00,NA,999.80,NA
2022-01-02 14:00:00,34.88,280.52,44.21,39.82,84.03,41.43,6.99,1.14,22.86,7.30,27.65,0.40,NA,1.53,2.95,21.93,46.17,1.79,75.23,0.00,0.00,NA,999.62,NA
2022-01-02 15:00:00,48.78,315.32,35.02,24.36,59.38,34.43,7.16,1.14,22.84,6.98,25.48,0.36,NA,1.37,2.71,21.85,47.19,2.03,70.31,0.00,0.00,NA,999.58,NA
2022-01-02 16:00:00,48.90,297.25,32.47,17.80,50.27,31.91,7.32,1.24,12.59,6.75,25.42,0.35,NA,1.33,2.65,21.08,49.34,1.92,82.17,0.00,0.00,NA,999.58,NA
2022-01-02 17:00:00,51.65,260.80,31.46,10.85,42.31,29.56,7.37,1.37,5.04,7.00,27.92,0.37,NA,1.46,2.77,19.86,56.52,2.41,80.15,0.00,0.00,NA,999.40,NA
2022-01-02 18:00:00,108.12,311.27,39.94,10.75,50.69,32.13,7.50,1.60,6.18,7.15,30.47,0.41,NA,1.64,2.99,18.87,60.34,2.43,95.65,0.00,0.00,NA,999.55,NA
2022-01-02 19:00:00,75.62,439.80,64.98,45.10,110.09,49.08,7.62,2.06,2.91,8.33,37.33,0.50,NA,2.19,3.56,19.82,61.91,2.56,140.68,0.00,0.00,NA,999.77,NA
2022-01-02 20:00:00,157.17,603.55,97.55,93.08,190.62,71.94,7.68,2.58,9.75,9.64,43.93,0.64,NA,3.12,4.55,20.24,65.82,3.02,183.25,0.00,0.00,NA,NA,NA
