Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,582.22,602.25,187.92,154.05,232.28,342.48,12.85,3.09,34.20,NA,NA,NA,NA,NA,NA,NA,87.82,0.96,320.78,0.00,0.00,6.82,NA,NA
2021-01-01 01:00:00,585.58,611.00,221.50,154.38,259.33,385.38,13.12,3.34,33.85,NA,NA,NA,NA,NA,NA,NA,87.83,1.14,224.61,0.00,0.00,7.27,NA,NA
2021-01-01 02:00:00,605.53,611.00,201.45,145.98,238.80,355.78,12.82,3.55,33.58,NA,NA,NA,NA,NA,NA,NA,87.83,1.10,287.81,0.00,0.00,7.50,NA,NA
2021-01-01 03:00:00,NA,NA,257.23,147.45,284.20,423.55,13.38,3.67,33.45,NA,NA,NA,NA,NA,NA,NA,87.82,1.28,100.77,0.00,0.00,6.97,NA,NA
2021-01-01 04:00:00,NA,NA,237.02,137.05,262.48,390.85,12.95,3.64,33.42,NA,NA,NA,NA,NA,NA,NA,87.83,1.28,30.84,0.00,0.00,7.79,NA,NA
2021-01-01 05:00:00,NA,NA,235.02,134.32,259.48,383.62,13.00,3.51,35.00,NA,NA,NA,NA,NA,NA,NA,87.83,1.27,31.12,0.00,0.00,7.94,NA,NA
2021-01-01 06:00:00,NA,NA,296.25,126.88,304.48,454.22,13.48,3.39,33.40,NA,NA,NA,NA,NA,NA,NA,87.83,1.05,41.08,0.00,0.00,8.49,NA,NA
2021-01-01 07:00:00,280.88,300.25,286.08,131.52,298.82,445.38,13.40,3.28,36.83,NA,NA,NA,NA,NA,NA,NA,87.83,0.95,113.24,0.00,0.00,10.09,NA,NA
2021-01-01 08:00:00,279.20,313.00,168.40,140.18,209.27,308.08,13.02,3.17,31.17,NA,NA,NA,NA,NA,NA,NA,87.83,1.12,61.16,0.00,0.00,19.78,NA,NA
2021-01-01 09:00:00,262.15,327.75,139.17,154.48,193.52,283.75,13.92,3.09,34.05,NA,NA,NA,NA,NA,NA,NA,87.82,0.66,144.58,0.00,0.00,34.43,NA,NA
