Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,391.50,489.75,189.90,51.35,182.12,59.98,11.15,3.25,6.68,11.60,53.50,NA,NA,NA,NA,6.68,87.50,0.30,216.52,0.00,0.00,10.62,992.05,NA
2021-01-01 01:00:00,431.25,515.00,204.78,59.42,198.70,62.50,11.85,3.38,6.70,11.60,60.45,NA,NA,NA,NA,6.25,89.20,0.45,251.15,0.00,0.00,9.90,992.00,NA
2021-01-01 02:00:00,467.25,540.50,230.40,54.30,216.70,63.70,13.60,3.80,5.25,12.00,56.20,NA,NA,NA,NA,5.55,89.20,0.40,266.12,0.00,0.00,9.95,991.98,NA
2021-01-01 03:00:00,509.75,585.50,278.65,50.65,254.15,60.78,13.85,4.10,5.75,13.28,63.85,NA,NA,NA,NA,5.18,90.50,0.32,289.58,0.00,0.00,10.00,991.80,NA
2021-01-01 04:00:00,552.00,641.50,279.60,49.62,254.35,60.25,12.62,4.32,5.78,13.75,68.57,NA,NA,NA,NA,4.90,91.20,0.30,157.25,0.00,0.00,10.72,992.05,NA
2021-01-01 05:00:00,602.00,687.25,295.65,39.22,261.95,57.72,13.80,4.38,5.30,15.52,74.45,NA,NA,NA,NA,4.70,91.22,0.40,253.82,0.00,0.00,10.95,992.12,NA
2021-01-01 06:00:00,601.25,681.25,378.70,40.98,330.55,55.10,16.45,4.78,5.32,NA,NA,NA,NA,NA,NA,4.40,91.22,0.45,252.08,0.00,0.00,11.00,992.55,NA
2021-01-01 07:00:00,578.50,666.00,447.45,46.20,389.35,57.32,19.58,5.10,5.30,NA,NA,NA,NA,NA,NA,4.20,91.22,0.50,244.32,0.00,0.00,16.20,993.40,NA
2021-01-01 08:00:00,562.50,656.75,425.70,55.82,376.80,55.58,12.70,4.53,5.65,NA,NA,NA,NA,NA,NA,5.52,91.28,0.45,233.28,0.00,0.00,37.10,994.20,NA
2021-01-01 09:00:00,515.50,655.25,259.83,129.93,280.95,60.28,8.85,3.22,4.70,13.45,57.10,NA,NA,NA,NA,8.78,88.82,0.42,126.10,0.00,0.00,59.62,995.15,NA
2021-01-01 10:00:00,441.25,606.75,101.28,183.60,180.22,64.60,6.88,1.90,14.40,10.40,47.08,NA,NA,NA,NA,12.65,73.22,0.78,102.15,0.00,0.00,72.50,995.08,NA
2021-01-01 11:00:00,392.50,518.50,63.50,111.18,110.88,55.75,17.90,0.92,55.03,7.93,37.67,NA,NA,NA,NA,16.83,50.32,0.52,94.05,0.00,0.00,92.12,994.35,NA
2021-01-01 12:00:00,322.50,418.50,37.80,93.35,80.47,51.88,14.78,0.78,95.15,6.02,29.20,NA,NA,NA,NA,18.92,43.40,0.65,51.58,0.00,0.00,177.70,993.03,NA
2021-01-01 13:00:00,288.00,393.00,29.50,83.90,68.70,50.05,12.10,0.65,108.95,6.20,30.50,NA,NA,NA,NA,18.92,43.22,0.70,80.85,0.00,0.00,96.58,992.45,NA
2021-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-01 16:00:00,288.00,393.00,8.10,67.60,42.60,47.00,16.80,0.00,60.32,3.70,18.98,NA,NA,NA,NA,16.55,45.15,1.02,86.02,0.00,0.00,34.45,991.05,NA
2021-01-01 17:00:00,178.00,298.00,7.68,79.38,48.50,43.75,12.32,0.98,59.05,5.50,26.50,NA,NA,NA,NA,14.85,50.55,0.75,91.35,0.00,0.00,15.80,990.92,NA
2021-01-01 18:00:00,188.75,309.00,21.35,113.78,77.92,47.35,13.60,1.75,14.12,6.70,36.75,NA,NA,NA,NA,12.88,56.50,0.42,108.80,0.00,0.00,11.18,991.15,NA
2021-01-01 19:00:00,245.75,385.50,56.00,118.57,108.70,57.20,15.18,2.88,5.03,9.62,62.90,NA,NA,NA,NA,12.20,61.68,0.50,32.52,0.00,0.00,10.62,991.45,NA
2021-01-01 20:00:00,329.00,514.75,93.62,116.92,138.52,57.58,10.80,3.02,5.25,10.35,58.08,NA,NA,NA,NA,11.73,66.98,0.45,117.82,0.00,0.00,10.58,991.82,NA
2021-01-01 21:00:00,368.50,517.75,114.20,113.28,153.32,58.85,10.95,3.10,5.18,11.00,57.00,NA,NA,NA,NA,11.25,71.03,0.50,115.50,0.00,0.00,11.27,992.25,NA
2021-01-01 22:00:00,418.25,546.00,94.60,109.30,135.25,64.40,11.45,3.12,5.10,11.98,57.58,NA,NA,NA,NA,11.55,72.53,0.68,76.05,0.00,0.00,11.92,992.00,NA
2021-01-01 23:00:00,464.50,574.00,125.88,105.00,158.48,65.78,12.68,3.50,4.57,12.38,54.65,NA,NA,NA,NA,11.00,74.82,0.50,57.50,0.00,0.00,11.90,991.60,NA
2021-01-02 00:00:00,491.75,586.50,139.52,97.15,165.40,67.75,14.85,NA,4.70,12.32,59.10,NA,NA,NA,NA,10.80,76.42,0.55,70.18,0.00,0.00,11.88,991.35,NA
2021-01-02 01:00:00,473.00,574.50,117.50,84.82,140.93,71.45,14.40,NA,6.10,10.95,52.70,NA,NA,NA,NA,10.35,77.53,0.22,112.32,0.00,0.00,11.10,991.32,NA
2021-01-02 02:00:00,437.00,508.75,42.00,84.60,79.20,63.70,12.00,NA,3.75,9.20,40.48,NA,NA,NA,NA,10.72,75.88,0.60,81.10,0.00,0.00,10.92,991.52,NA
2021-01-02 03:00:00,370.25,423.25,36.75,76.55,70.70,65.97,11.55,NA,3.42,7.92,31.98,NA,NA,NA,NA,10.52,74.77,0.43,108.80,0.00,0.00,10.75,991.38,NA
2021-01-02 04:00:00,357.50,395.25,29.78,80.00,66.80,64.25,7.18,NA,3.30,7.65,32.95,NA,NA,NA,NA,10.95,73.18,0.95,28.20,0.00,0.00,11.00,991.32,NA
2021-01-02 05:00:00,349.50,398.00,28.00,77.03,63.82,62.15,6.35,NA,2.78,8.02,33.70,NA,NA,NA,NA,11.10,72.15,0.70,57.55,0.00,0.00,11.23,991.32,NA
2021-01-02 06:00:00,342.75,400.25,17.83,75.15,54.50,61.40,10.07,NA,4.58,8.35,32.67,NA,NA,NA,NA,11.32,70.55,0.65,77.42,0.00,0.00,11.35,991.75,NA
2021-01-02 07:00:00,356.50,420.25,23.95,79.88,62.00,59.65,9.32,NA,3.70,8.38,33.35,NA,NA,NA,NA,11.45,71.22,0.80,101.20,0.00,0.00,15.98,991.88,NA
2021-01-02 08:00:00,361.50,431.75,20.27,70.90,54.25,61.90,10.40,NA,10.50,8.65,28.58,NA,NA,NA,NA,11.30,77.10,1.20,125.12,0.00,0.00,24.78,993.15,NA
2021-01-02 09:00:00,331.00,395.50,18.20,69.15,51.62,61.30,8.93,NA,16.48,7.43,22.52,NA,NA,NA,NA,11.48,77.95,0.90,127.90,0.00,0.00,40.95,993.88,NA
2021-01-02 10:00:00,281.25,319.25,30.10,88.72,71.72,66.38,8.30,NA,9.35,7.50,26.52,NA,NA,NA,NA,12.95,74.40,0.85,102.85,0.00,0.00,64.80,993.92,NA
2021-01-02 11:00:00,344.50,392.75,27.10,95.28,72.75,65.80,9.45,1.80,11.58,8.68,29.92,NA,NA,NA,NA,14.55,68.70,0.75,38.07,0.00,0.00,100.12,993.85,NA
2021-01-02 12:00:00,362.00,425.00,19.42,97.20,67.50,68.32,13.18,1.65,27.50,9.02,34.97,NA,NA,NA,NA,16.97,60.02,0.85,50.85,0.00,0.00,167.02,992.32,NA
2021-01-02 13:00:00,330.25,406.25,8.07,73.35,45.58,58.05,16.25,1.02,62.90,8.18,40.83,NA,NA,NA,NA,18.82,48.30,1.17,82.07,0.00,0.00,143.75,991.00,NA
2021-01-02 14:00:00,211.00,310.00,6.28,56.12,34.95,55.62,16.15,0.72,79.50,6.75,33.03,NA,NA,NA,NA,18.90,47.30,1.55,87.12,0.00,0.00,109.50,989.88,NA
