Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,572.25,669.00,126.35,134.32,174.45,63.20,8.15,4.52,5.92,NA,89.30,NA,NA,NA,NA,12.30,91.72,0.10,42.05,0.00,0.00,2.95,994.12,NA
2021-01-01 01:00:00,641.25,801.00,163.20,110.35,191.73,62.47,8.70,4.90,7.30,NA,92.95,NA,NA,NA,NA,11.95,93.25,0.18,135.10,0.00,0.00,2.88,994.22,NA
2021-01-01 02:00:00,586.50,765.00,173.75,123.48,207.32,60.18,7.62,4.05,6.22,NA,94.82,NA,NA,NA,NA,11.68,94.15,0.10,80.10,0.00,0.00,2.85,994.12,NA
2021-01-01 03:00:00,568.25,690.00,190.60,119.65,219.02,58.18,7.45,4.18,6.05,NA,94.75,NA,NA,NA,NA,11.42,96.07,0.10,88.95,0.00,0.00,2.92,994.08,NA
2021-01-01 04:00:00,576.75,744.00,231.72,123.05,254.35,58.12,8.10,4.10,6.88,NA,94.75,NA,NA,NA,NA,11.28,96.90,0.15,101.98,0.00,0.00,2.88,994.08,NA
2021-01-01 05:00:00,540.75,711.00,243.92,121.38,264.38,51.38,7.98,3.50,7.50,NA,93.52,NA,NA,NA,NA,10.58,96.32,0.25,184.45,0.00,0.00,3.00,994.35,NA
2021-01-01 06:00:00,458.25,537.00,228.82,125.15,253.10,50.50,7.48,3.20,7.43,NA,99.05,NA,NA,NA,NA,10.60,97.20,0.48,111.18,0.00,0.00,2.95,994.82,NA
2021-01-01 07:00:00,417.50,484.00,195.90,108.25,217.28,50.15,7.35,3.35,7.00,NA,96.38,NA,NA,NA,NA,10.68,97.72,0.15,256.00,0.00,0.00,4.90,995.65,NA
2021-01-01 08:00:00,404.50,519.00,180.65,113.02,207.42,49.72,6.05,3.03,6.90,NA,96.48,NA,NA,NA,NA,10.98,97.78,0.38,86.48,0.00,0.00,14.70,996.50,NA
2021-01-01 09:00:00,391.00,498.00,123.45,71.68,138.75,48.82,5.40,2.85,7.45,NA,96.78,NA,NA,NA,NA,11.12,97.75,0.80,97.40,0.00,0.00,32.05,997.18,NA
2021-01-01 10:00:00,423.00,532.00,94.48,73.50,116.12,49.82,5.78,3.20,6.92,NA,96.62,NA,NA,NA,NA,12.35,97.15,0.42,59.22,0.00,0.00,79.68,997.25,NA
2021-01-01 11:00:00,492.00,686.00,61.40,129.73,119.05,67.78,6.72,4.22,8.50,NA,91.80,NA,NA,NA,NA,14.15,87.38,0.60,266.23,0.00,0.00,166.85,996.85,NA
2021-01-01 12:00:00,646.25,865.00,27.72,88.35,69.58,58.50,5.78,2.97,9.82,NA,84.88,NA,NA,NA,NA,15.85,76.77,0.45,5.62,0.00,0.00,189.25,995.75,NA
2021-01-01 13:00:00,459.75,565.00,16.72,65.53,48.50,54.10,5.75,2.00,17.75,NA,83.15,NA,NA,NA,NA,17.15,71.25,0.38,58.12,0.00,0.00,167.30,994.92,NA
2021-01-01 14:00:00,361.25,440.75,11.48,64.25,43.53,55.85,6.38,2.17,25.10,NA,79.10,NA,NA,NA,NA,17.38,70.02,0.25,30.28,0.00,0.00,82.43,994.10,NA
2021-01-01 15:00:00,358.25,464.00,7.88,62.90,39.88,58.65,6.18,1.65,35.72,NA,73.25,NA,NA,NA,NA,17.42,65.35,0.35,61.35,0.00,0.00,53.88,993.50,NA
2021-01-01 16:00:00,307.75,394.00,19.00,97.30,67.22,59.68,6.45,1.58,19.70,NA,65.45,NA,NA,NA,NA,17.08,62.08,0.35,75.65,0.00,0.00,25.80,993.20,NA
