Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,608.50,851.00,NA,94.93,486.70,84.98,27.92,8.43,1.82,10.03,75.62,NA,NA,NA,NA,8.95,90.82,0.40,304.62,0.00,0.00,3.30,998.57,NA
2019-01-01 01:00:00,677.00,912.50,498.70,82.10,453.40,78.85,28.22,7.77,2.10,9.92,76.20,NA,NA,NA,NA,8.20,94.07,0.60,312.25,0.00,0.00,3.27,998.40,NA
2019-01-01 02:00:00,655.00,885.50,364.30,67.80,332.90,75.50,20.30,5.70,1.18,9.97,76.03,NA,NA,NA,NA,7.95,95.33,0.68,316.95,0.00,0.00,3.27,998.25,NA
2019-01-01 03:00:00,550.50,755.50,315.53,70.85,295.00,80.55,21.03,4.45,0.92,9.75,74.15,NA,NA,NA,NA,7.90,95.05,0.75,316.97,0.00,0.00,3.20,997.98,NA
2019-01-01 04:00:00,441.00,618.00,251.87,72.55,243.90,82.55,21.30,3.42,0.83,9.60,69.55,NA,NA,NA,NA,7.75,93.18,0.83,316.10,0.00,0.00,3.20,997.30,NA
2019-01-01 05:00:00,365.25,506.50,192.58,64.38,191.22,80.80,15.12,2.27,0.82,9.12,66.15,NA,NA,NA,NA,7.67,92.40,0.97,316.95,0.00,0.00,3.20,996.75,NA
2019-01-01 06:00:00,325.25,449.00,204.02,60.45,198.55,78.62,12.97,2.05,0.97,8.65,63.60,NA,NA,NA,NA,7.40,91.85,0.90,313.07,0.00,0.00,3.25,997.20,NA
2019-01-01 07:00:00,318.25,445.50,208.77,64.08,204.08,74.95,10.65,1.82,1.20,8.13,60.45,NA,NA,NA,NA,7.27,94.15,0.72,314.78,0.00,0.00,13.97,998.50,NA
2019-01-01 08:00:00,328.00,481.25,182.80,109.85,207.15,77.20,9.42,1.45,1.48,7.32,55.70,NA,NA,NA,NA,10.05,83.45,0.45,312.25,0.00,0.00,62.75,999.45,NA
2019-01-01 09:00:00,385.00,582.75,94.78,108.73,134.87,87.18,14.93,0.88,2.52,7.02,54.73,NA,NA,NA,NA,13.80,66.52,0.97,263.97,0.00,0.00,142.40,1000.25,NA
