Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,389.55,503.19,253.73,66.50,320.27,NA,NA,9.29,16.20,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:00:00,478.39,633.96,269.36,68.05,337.41,NA,NA,3.17,16.80,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 02:00:00,496.09,675.33,243.22,59.72,302.91,NA,NA,9.60,16.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 03:00:00,510.28,610.18,229.11,56.05,285.12,NA,NA,9.41,16.44,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 04:00:00,482.98,593.20,213.77,51.45,265.20,NA,NA,9.06,16.10,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 05:00:00,482.08,583.33,190.89,46.63,237.49,NA,NA,8.49,15.83,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 06:00:00,448.17,573.98,173.12,43.46,216.56,NA,NA,7.67,15.60,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 07:00:00,445.80,540.86,172.20,42.41,214.62,NA,NA,7.54,16.50,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 08:00:00,403.60,541.86,181.34,47.47,228.81,NA,NA,7.19,17.03,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 09:00:00,398.04,571.67,109.95,52.93,162.69,NA,NA,4.45,17.01,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
