Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,350.50,738.00,326.95,75.00,306.45,65.23,11.45,7.48,1.90,37.20,199.88,NA,NA,NA,NA,8.15,97.90,0.30,229.53,0.00,0.00,1.73,997.02,NA
2019-01-01 01:00:00,366.75,734.75,328.10,72.18,305.90,69.13,11.75,7.30,2.55,36.75,204.33,NA,NA,NA,NA,7.75,99.12,0.35,240.23,0.00,0.00,1.68,996.85,NA
2019-01-01 02:00:00,352.75,712.75,304.50,78.70,288.60,59.95,8.80,5.60,1.40,35.68,200.90,NA,NA,NA,NA,7.60,99.57,0.65,244.55,0.00,0.00,1.60,996.70,NA
2019-01-01 03:00:00,326.00,646.50,225.40,79.67,226.05,60.30,8.75,4.70,1.00,28.28,153.42,NA,NA,NA,NA,7.52,98.55,0.58,258.48,0.00,0.00,1.53,996.45,NA
2019-01-01 04:00:00,271.00,530.25,134.55,64.97,144.20,57.62,7.05,3.30,0.75,21.30,100.17,NA,NA,NA,NA,7.07,98.88,0.62,236.35,0.00,0.00,1.63,995.75,NA
2019-01-01 05:00:00,220.50,425.50,92.95,59.70,107.70,53.73,6.73,2.40,1.30,15.10,56.65,NA,NA,NA,NA,6.70,99.70,0.70,233.05,0.00,0.00,1.65,995.25,NA
2019-01-01 06:00:00,182.50,356.75,120.25,53.30,126.05,50.68,6.98,2.27,1.25,11.72,37.05,NA,NA,NA,NA,6.52,99.70,0.95,227.98,0.00,0.00,1.68,995.60,NA
2019-01-01 07:00:00,173.50,353.75,160.00,57.45,157.68,49.05,7.85,2.25,1.33,11.23,33.72,NA,NA,NA,NA,6.65,99.70,0.63,244.65,0.00,0.00,9.85,996.92,NA
2019-01-01 08:00:00,182.75,395.75,204.15,87.42,212.83,54.00,10.12,2.60,1.62,12.05,32.00,NA,NA,NA,NA,8.87,94.12,0.58,225.48,0.00,0.00,54.23,997.90,NA
2019-01-01 09:00:00,214.25,474.75,108.62,123.08,154.03,67.65,16.32,2.48,1.97,12.35,29.72,NA,NA,NA,NA,12.72,74.73,0.78,234.13,0.00,0.00,96.18,998.62,NA
2019-01-01 10:00:00,246.50,546.00,19.95,84.15,61.10,59.80,19.10,1.42,13.85,8.93,19.45,NA,NA,NA,NA,15.80,61.25,0.60,236.25,0.00,0.00,84.77,998.55,NA
2019-01-01 11:00:00,174.75,365.25,4.43,43.50,26.70,50.95,17.67,1.08,41.92,6.27,11.55,NA,NA,NA,NA,18.68,46.35,0.77,235.20,0.00,0.00,105.73,997.75,NA
2019-01-01 12:00:00,125.50,267.00,3.45,40.00,24.12,42.50,28.12,0.85,51.67,4.40,10.20,NA,NA,NA,NA,20.93,33.72,0.85,236.75,0.00,0.00,239.95,996.57,NA
2019-01-01 13:00:00,94.00,219.75,2.93,41.50,24.45,38.95,28.58,0.90,62.55,3.80,13.15,NA,NA,NA,NA,22.43,29.17,0.58,262.32,0.00,0.00,274.78,995.40,NA
2019-01-01 14:00:00,84.00,212.25,2.23,47.75,27.25,36.78,24.93,0.95,69.00,4.17,19.68,NA,NA,NA,NA,22.85,27.83,0.77,272.60,0.00,0.00,188.08,994.65,NA
2019-01-01 15:00:00,83.25,219.75,1.95,58.82,32.88,36.27,27.75,1.03,65.55,4.88,20.80,NA,NA,NA,NA,21.80,31.25,0.58,298.90,0.00,0.00,112.25,994.57,NA
2019-01-01 16:00:00,96.00,252.50,1.97,75.05,41.53,38.38,24.32,1.18,44.95,6.73,31.08,NA,NA,NA,NA,20.42,38.47,0.20,185.35,0.00,0.00,35.47,994.88,NA
2019-01-01 17:00:00,118.00,280.50,35.50,103.03,83.28,39.68,16.95,1.70,13.90,6.52,35.03,NA,NA,NA,NA,16.50,54.48,0.18,102.70,0.00,0.00,5.97,995.05,NA
2019-01-01 18:00:00,139.00,361.75,204.17,131.02,236.30,44.55,16.37,3.62,1.28,11.10,56.70,NA,NA,NA,NA,13.80,68.55,0.23,182.38,0.00,0.00,1.77,995.35,NA
2019-01-01 19:00:00,190.25,491.25,427.45,147.28,425.75,47.25,19.97,6.60,0.90,17.78,101.82,NA,NA,NA,NA,12.62,77.12,0.48,214.95,0.00,0.00,1.75,995.70,NA
