Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,143.0,196.0,53.125,51.675,70.8,63.625,7.324999999999999,0.9333333333333335,7.075,5.775,12.25,1.5,,,,9.1,93.55,0.3,242.625,,0.0,9.925,978.5,0.0
2023-01-01 01:00:00,144.0,,52.775000000000006,51.7,70.5,68.05,6.699999999999999,0.625,7.7,5.35,11.325,0.85,,,,8.925,94.1,0.3,227.275,,0.0,11.575,978.5,0.0
2023-01-01 02:00:00,136.5,,46.3,51.0,64.80000000000001,61.2,,0.5,6.875,4.725,10.625,0.8250000000000001,,,,8.0,94.525,0.3,230.4,,0.0,12.1,978.5,0.0
2023-01-01 03:00:00,135.25,,50.45,48.474999999999994,66.9,62.2,,0.575,7.4750000000000005,4.8,10.6,0.225,,,,7.45,94.875,0.3,223.875,,0.0,12.0,978.5,0.0
2023-01-01 04:00:00,144.25,,57.75,43.95,70.475,58.3,6.033333333333334,0.7000000000000001,6.15,4.425,9.6,0.325,,,,6.75,95.075,0.3,238.6,,0.0,11.025,978.5,0.0
2023-01-01 05:00:00,134.0,,66.875,40.475,76.05,58.65,6.525,0.7999999999999999,5.15,3.95,5.825,0.49999999999999994,,,,6.825,95.4,0.3,231.25,,0.0,9.8,978.5,0.0
2023-01-01 06:00:00,104.75,,60.775,41.475,71.575,58.849999999999994,6.65,0.575,7.05,3.175,6.625,0.39999999999999997,,,,8.325,95.85,0.35,228.05,,0.0,10.0,978.5,0.0
2023-01-01 07:00:00,88.75,,47.075,43.025,61.3,59.275,6.366666666666667,0.5,6.2,2.575,3.775,0.2,,,,8.225,95.775,0.3,219.6,,0.0,13.05,978.5,0.0
2023-01-01 08:00:00,86.0,,41.7,44.85,57.85,58.275,5.1,0.8666666666666667,8.725,2.4,2.975,0.925,,,,11.475,94.85,0.325,212.175,,0.0,23.8,978.5,0.0
2023-01-01 09:00:00,80.0,,37.35,59.325,62.0,62.0,5.0,0.975,17.225,2.45,2.25,0.325,,,,15.6,88.775,1.05,226.775,,0.0,38.95,978.3,0.0
2023-01-01 10:00:00,,,27.95,77.05,63.825,62.4,5.0,0.925,37.2,2.55,2.875,0.4,,,,18.775,80.45,1.425,221.4,,0.0,58.95,978.05,0.0
2023-01-01 11:00:00,,,19.075,79.4,57.725,62.075,5.066666666666666,0.8666666666666667,64.6,2.6,2.675,0.17500000000000002,,,,21.175,69.125,1.95,246.8,,0.0,185.625,977.65,0.025
2023-01-01 12:00:00,,,10.225,71.775,46.5,56.6,6.875,0.6666666666666666,79.4,2.375,3.75,0.175,,,,23.275,60.7,1.675,237.625,,0.0,208.525,977.375,0.0
2023-01-01 13:00:00,,,6.95,69.425,42.575,59.4,8.0,0.525,89.65,2.15,4.6,0.07500000000000001,,,,24.5,54.95,1.6,212.89999999999998,,0.0,195.8,977.1500000000001,0.0
2023-01-01 14:00:00,,,6.925,66.575,41.05,60.825,7.675,0.6,94.0,2.05,2.35,0.125,,,,24.45,54.65,1.5,226.225,,0.0,133.175,977.2,0.0
2023-01-01 15:00:00,,,4.575,68.05,39.925,61.175000000000004,7.5,0.5,94.025,1.875,2.9,0.07500000000000001,,,,23.55,55.025,1.675,262.275,,0.0,84.275,977.175,0.0
2023-01-01 16:00:00,,,6.15,65.07499999999999,39.625,58.45,5.825,0.6,89.125,1.575,1.9500000000000002,0.875,,,,22.6,58.15,1.075,226.125,,0.0,35.0,977.3,0.0
2023-01-01 17:00:00,,,8.925,67.85,43.375,61.25,4.675,0.6333333333333333,54.900000000000006,1.125,0.6,0.475,,,,19.25,67.325,0.35,269.575,,0.0,11.05,977.6,0.0
2023-01-01 18:00:00,,,12.375,73.45,49.175,62.125,4.7,1.0,21.400000000000002,1.6,3.0,0.4,,,,14.825,75.875,0.3,244.625,,0.0,5.25,977.9,0.0
2023-01-01 19:00:00,,,22.525,78.975,60.375,61.3,4.7,1.725,7.7,2.225,5.5,0.125,,,,12.575000000000001,81.925,0.3,244.275,,0.0,5.6499999999999995,978.075,0.0
2023-01-01 20:00:00,,,46.55,69.9,75.125,59.025,51.125,2.3499999999999996,6.775,3.15,9.05,2.5250000000000004,,,,11.2,85.85,0.3,247.05,,0.0,5.4,978.2,0.0
