Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,198.5,377.0,118.65,39.975,117.875,51.4,8.4,1.1,4.6,,,,,,,12.775,92.5,0.625,46.225,0.0,0.0,5.7,996.075,
2023-01-01 01:00:00,189.25,351.25,82.75,48.1,93.675,46.525000000000006,6.95,0.8,,,,,,,,12.575,92.5,0.6,32.575,0.0,0.0,5.7,995.75,
2023-01-01 02:00:00,160.5,288.5,43.7,43.8,58.4,38.8,3.5,,3.5,,,,,,,12.45,92.4,0.575,36.275,0.0,0.0,5.7,995.3,
2023-01-01 03:00:00,144.0,248.75,46.15,45.175,61.7,36.95,4.85,0.8,3.375,,,,,,,12.350000000000001,92.125,0.575,38.3,0.0,0.0,5.65,994.9,
2023-01-01 04:00:00,133.5,229.5,46.925,40.575,59.85,32.875,4.025,0.75,2.95,,,,,,,12.075,91.825,0.625,32.75,0.0,0.0,5.65,994.875,
2023-01-01 05:00:00,97.25,182.5,31.525,34.85,44.3,33.825,3.2,0.625,2.575,5.65,11.899999999999999,,,,,11.75,91.5,0.75,34.150000000000006,0.0,0.0,5.675,995.2,
2023-01-01 06:00:00,82.25,156.25,28.6,31.35,40.025,43.625,4.35,0.6,2.5,5.766666666666667,11.1,,,,,11.649999999999999,91.425,0.875,33.025,0.0,0.0,5.7,995.725,
2023-01-01 07:00:00,81.5,167.25,28.674999999999997,30.725,39.825,42.875,4.1,0.6749999999999999,2.775,6.4,9.95,,,,,11.3,91.225,0.7,108.625,0.0,0.0,15.45,996.3,
2023-01-01 08:00:00,94.75,188.0,23.525,36.85,38.825,42.875,4.925,0.7666666666666666,8.2,,,,,,,12.375,91.975,0.575,24.025,0.0,0.0,59.075,996.725,
2023-01-01 09:00:00,121.5,217.0,15.325,42.574999999999996,35.15,39.650000000000006,4.55,0.8,12.975,,,,,,,14.875,82.025,0.8,43.8,0.0,0.0,155.45,997.775,
2023-01-01 10:00:00,125.25,238.75,9.275,44.375,31.175,35.65,4.9,0.75,24.775,,,,,,,17.65,64.1,0.95,63.099999999999994,0.0,0.0,310.05,998.475,
2023-01-01 11:00:00,133.75,266.0,6.65,40.225,26.8,36.9,6.575,0.725,41.4,,,,,,,19.1,56.95,1.075,57.6,0.0,0.0,297.975,998.45,
