Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,428.27,NA,221.18,24.38,189.92,NA,34.53,2.92,2.02,19.86,40.41,NA,15.14,10.41,24.61,NA,93.93,0.42,150.85,NA,NA,6.10,NA,NA
2020-01-01 01:00:00,474.45,NA,146.55,24.77,130.42,NA,39.63,2.36,3.16,25.25,60.54,NA,17.96,13.32,25.81,NA,94.98,0.36,124.10,NA,NA,6.10,NA,NA
2020-01-01 02:00:00,466.61,NA,136.56,25.93,123.04,NA,41.66,1.53,1.79,21.26,67.94,NA,17.06,13.17,24.06,NA,95.52,0.39,147.24,NA,NA,6.10,NA,NA
2020-01-01 03:00:00,428.59,NA,132.25,22.03,117.52,NA,39.40,1.25,2.41,17.46,47.64,NA,13.38,9.46,17.72,NA,95.78,0.41,168.62,NA,NA,6.10,NA,NA
2020-01-01 04:00:00,401.04,NA,214.66,16.26,180.38,NA,39.96,1.69,3.23,18.89,44.35,NA,12.70,9.18,17.64,NA,96.60,0.43,160.02,NA,NA,6.02,NA,NA
2020-01-01 05:00:00,394.48,NA,160.69,14.11,136.06,NA,40.93,1.93,5.53,19.70,47.50,NA,13.80,9.95,19.62,NA,96.58,0.41,153.82,NA,NA,5.90,NA,NA
2020-01-01 06:00:00,358.35,NA,176.89,13.49,148.69,NA,39.93,2.01,7.38,19.84,46.25,NA,13.35,9.79,19.30,NA,96.80,0.42,157.26,NA,NA,6.00,NA,NA
2020-01-01 07:00:00,384.05,NA,269.87,13.52,223.08,NA,40.45,2.34,8.48,21.55,49.54,NA,15.00,10.40,21.34,NA,97.40,0.42,164.94,NA,NA,20.25,NA,NA
2020-01-01 08:00:00,427.76,NA,238.99,14.49,198.90,NA,41.36,2.05,4.85,24.62,55.01,NA,16.68,11.60,22.84,NA,96.88,0.42,156.95,NA,NA,65.42,NA,NA
2020-01-01 09:00:00,418.70,NA,110.66,74.75,128.29,NA,55.18,0.62,72.72,21.76,51.02,NA,14.16,10.30,18.85,NA,88.68,0.78,134.89,NA,NA,118.55,NA,NA
2020-01-01 10:00:00,397.53,NA,32.84,92.95,75.71,NA,51.60,0.20,65.67,8.60,26.04,NA,5.48,4.66,8.20,NA,64.10,1.36,138.01,NA,NA,148.82,NA,NA
2020-01-01 11:00:00,324.84,NA,12.91,70.70,47.93,NA,47.59,0.92,26.43,5.12,16.44,NA,1.56,2.76,5.25,NA,54.60,1.42,135.55,NA,NA,175.20,NA,NA
2020-01-01 12:00:00,257.38,NA,4.03,44.11,26.69,NA,42.56,0.65,32.37,3.32,9.85,NA,1.53,2.55,3.10,NA,53.35,1.50,128.79,NA,NA,186.95,NA,NA
2020-01-01 13:00:00,201.49,NA,3.92,34.60,21.54,NA,38.44,0.39,52.00,2.59,6.37,NA,0.35,1.96,1.88,NA,53.28,1.33,127.84,NA,NA,170.70,NA,NA
2020-01-01 14:00:00,159.68,NA,3.27,31.34,19.28,NA,41.08,0.51,59.98,2.12,5.89,NA,NA,2.24,1.04,NA,53.40,1.44,128.56,NA,NA,132.78,NA,NA
2020-01-01 15:00:00,163.21,NA,2.67,30.12,18.16,NA,44.26,0.85,60.94,2.07,5.55,NA,NA,1.86,1.74,NA,55.62,1.24,129.47,NA,NA,71.97,NA,NA
