Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,140.00,179.00,68.27,16.60,84.85,45.20,2.92,1.70,5.42,0.35,0.60,NA,NA,NA,NA,5.52,86.70,0.73,249.88,0.00,0.00,3.18,998.98,NA
2022-01-01 01:00:00,128.00,157.00,63.30,17.73,81.05,47.00,3.10,1.70,5.40,0.38,0.57,NA,NA,NA,NA,5.22,86.70,0.78,297.97,0.00,0.00,3.10,998.75,NA
2022-01-01 02:00:00,143.00,174.00,54.80,16.60,71.40,41.90,2.00,1.80,5.95,0.40,0.62,NA,NA,NA,NA,4.73,86.70,0.70,260.83,0.00,0.00,3.20,998.50,NA
2022-01-01 03:00:00,133.00,147.00,57.32,16.42,73.72,39.28,2.28,1.80,5.58,0.40,0.70,NA,NA,NA,NA,4.25,86.70,0.85,263.82,0.00,0.00,3.20,998.35,NA
2022-01-01 04:00:00,121.00,140.00,51.18,13.72,64.88,40.67,2.42,1.80,5.93,0.48,0.68,NA,NA,NA,NA,3.82,86.70,0.55,264.73,0.00,0.00,3.27,998.02,NA
2022-01-01 05:00:00,129.00,147.00,55.72,14.97,70.68,36.75,2.65,1.85,6.10,0.50,0.75,NA,NA,NA,NA,3.08,86.60,0.70,196.05,0.00,0.00,3.38,998.12,NA
2022-01-01 06:00:00,130.00,138.00,63.12,11.70,74.80,38.55,2.60,1.87,5.90,0.52,0.95,NA,NA,NA,NA,3.08,86.60,0.60,248.23,0.00,0.00,3.28,998.47,NA
2022-01-01 07:00:00,139.00,158.00,61.78,13.95,75.70,38.20,2.20,1.88,5.88,0.50,1.33,NA,NA,NA,NA,3.50,86.62,1.15,259.38,0.00,0.00,11.90,999.10,NA
2022-01-01 08:00:00,134.00,150.00,43.80,18.17,61.97,46.08,1.80,1.90,6.82,0.57,1.55,NA,NA,NA,NA,5.80,86.75,0.75,298.50,0.00,0.00,50.40,999.88,NA
2022-01-01 09:00:00,144.00,174.00,16.03,23.25,39.25,51.22,1.58,1.60,11.18,0.50,1.02,NA,NA,NA,NA,8.75,82.95,0.68,301.23,0.00,0.00,92.80,NA,NA
2022-01-01 10:00:00,140.00,191.00,4.65,23.90,28.55,58.85,1.75,1.45,23.33,0.48,0.70,NA,NA,NA,NA,12.35,69.53,0.62,292.85,0.00,0.00,131.12,NA,NA
2022-01-01 11:00:00,164.00,218.00,4.47,19.58,24.02,69.78,2.40,1.35,42.05,0.40,0.52,NA,NA,NA,NA,15.35,56.75,0.72,326.25,0.00,0.00,150.70,999.90,NA
