Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,271.75,422.25,17.10,44.32,37.48,64.75,2.35,1.40,1.85,4.52,33.97,NA,NA,NA,NA,7.88,88.82,0.57,300.08,0.00,0.00,1.23,996.98,NA
2019-01-01 01:00:00,250.50,366.50,8.70,30.70,23.43,61.65,0.78,1.30,1.90,4.20,19.10,NA,NA,NA,NA,7.15,92.10,0.35,259.95,0.00,0.00,1.45,996.93,NA
2019-01-01 02:00:00,237.00,357.25,4.20,30.75,19.75,53.30,0.30,1.35,3.37,4.20,18.93,NA,NA,NA,NA,7.13,94.50,0.40,318.85,0.00,0.00,1.20,996.72,NA
2019-01-01 03:00:00,249.25,383.25,10.83,41.85,31.10,55.98,0.23,1.45,1.30,6.77,16.83,NA,NA,NA,NA,6.75,95.17,0.20,219.25,0.00,0.00,1.60,996.40,NA
2019-01-01 04:00:00,261.00,398.75,25.60,34.40,39.12,57.50,0.23,1.58,0.40,5.45,20.78,NA,NA,NA,NA,6.07,96.62,0.28,305.25,0.00,0.00,1.38,995.65,NA
2019-01-01 05:00:00,272.50,416.50,27.80,38.52,43.25,60.55,1.20,1.70,0.50,5.88,39.47,NA,NA,NA,NA,6.10,97.15,0.43,304.45,0.00,0.00,1.33,995.35,NA
2019-01-01 06:00:00,285.25,438.00,38.65,43.95,54.85,59.93,3.23,1.80,1.00,6.95,37.75,NA,NA,NA,NA,6.13,97.17,0.40,311.15,0.00,0.00,1.60,996.00,NA
2019-01-01 07:00:00,286.25,432.25,44.80,49.38,62.77,64.90,5.30,1.82,0.70,7.37,30.45,NA,NA,NA,NA,6.28,97.20,0.35,293.32,0.00,0.00,26.02,997.22,NA
2019-01-01 08:00:00,325.25,489.25,50.62,57.22,71.77,72.35,4.38,1.95,1.93,7.62,23.85,NA,NA,NA,NA,8.93,96.60,0.32,223.10,0.00,0.00,126.27,998.15,NA
2019-01-01 09:00:00,353.25,553.75,20.15,60.97,48.77,71.50,14.27,1.77,12.72,7.23,30.05,NA,NA,NA,NA,13.33,73.45,0.83,264.60,0.00,0.00,247.58,998.95,NA
2019-01-01 10:00:00,391.50,605.50,10.15,46.17,32.90,63.27,20.00,1.40,29.00,5.25,26.40,NA,NA,NA,NA,16.70,57.95,0.60,274.78,0.00,0.00,357.70,998.78,NA
2019-01-01 11:00:00,311.00,484.00,7.43,33.67,23.90,63.17,16.53,1.40,52.75,5.45,26.20,NA,NA,NA,NA,18.62,49.45,0.62,257.20,0.00,0.00,390.00,998.00,NA
2019-01-01 12:00:00,287.00,468.25,5.10,14.65,11.95,60.98,13.83,1.15,76.30,4.60,40.60,NA,NA,NA,NA,20.83,36.85,0.53,262.95,0.00,0.00,424.30,996.70,NA
2019-01-01 13:00:00,227.25,382.25,4.02,7.73,7.38,57.43,15.40,0.83,80.75,3.13,21.10,NA,NA,NA,NA,22.28,28.72,0.75,304.22,0.00,0.00,412.18,995.60,NA
2019-01-01 14:00:00,153.50,258.75,4.20,6.20,6.73,55.55,19.38,0.78,80.10,2.18,42.05,NA,NA,NA,NA,21.55,28.67,1.15,331.15,0.00,0.00,267.98,995.00,NA
