Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,201.75,261.5,15.2,61.25,44.98,71.72,11.12,1.13,3.4,0.4,1.3,,,,,9.5,75.6,0.2,211.72,0.0,0.0,4.3,986.38,
2024-01-01 01:00:00,203.75,258.5,18.08,61.12,47.22,71.72,9.93,1.2,2.8,0.35,1.27,,,,,9.48,76.32,0.22,175.98,0.0,0.0,4.3,986.35,
2024-01-01 02:00:00,182.5,240.5,13.7,65.0,45.8,66.2,11.4,,3.22,0.4,1.27,,,,,9.52,76.05,0.28,264.95,0.0,0.0,4.3,986.45,
2024-01-01 03:00:00,172.25,226.75,10.62,66.25,43.9,68.08,8.55,1.2,3.52,0.3,1.25,,,,,9.48,75.5,0.3,264.08,0.0,0.0,4.3,986.42,
2024-01-01 04:00:00,170.75,232.25,7.02,66.28,40.93,66.05,7.93,1.27,3.78,0.48,1.32,,,,,9.2,75.47,0.28,262.12,0.0,0.0,4.4,986.25,
2024-01-01 05:00:00,190.5,252.25,9.52,59.62,39.5,65.62,7.78,1.12,3.68,0.4,1.3,,,,,9.25,76.08,0.28,343.7,0.0,0.0,4.35,986.38,
2024-01-01 06:00:00,188.25,258.5,12.95,56.3,40.52,67.22,7.8,1.1,3.82,0.4,1.27,,,,,9.1,75.95,0.3,92.5,0.0,0.0,4.35,986.82,
2024-01-01 07:00:00,189.5,267.75,14.4,55.5,41.25,67.05,7.13,1.18,4.65,0.35,1.25,,,,,9.02,75.85,0.3,267.65,0.0,0.0,4.4,987.35,
2024-01-01 08:00:00,204.25,278.75,14.32,50.12,38.33,67.68,7.22,1.17,7.88,0.38,1.42,,,,,9.05,74.08,0.22,179.22,0.0,0.0,11.88,987.92,
2024-01-01 09:00:00,220.25,299.75,14.95,49.35,38.42,68.88,7.32,1.25,10.92,0.38,1.4,,,,,9.62,71.3,0.25,318.6,0.0,0.0,36.65,988.42,
2024-01-01 10:00:00,216.25,298.5,17.65,46.5,39.12,67.65,7.68,1.17,13.45,0.38,1.35,,,,,10.3,67.95,0.15,239.2,0.0,0.0,86.82,988.62,
2024-01-01 11:00:00,177.0,263.0,20.38,50.78,43.62,66.9,7.68,1.12,21.05,0.3,1.25,,,,,11.62,63.48,0.18,54.72,0.0,0.0,186.28,988.15,
2024-01-01 12:00:00,190.0,276.75,19.27,64.8,50.18,68.15,9.68,1.17,34.6,0.35,1.32,,,,,13.35,58.05,0.15,213.32,0.0,0.0,232.72,986.98,
2024-01-01 13:00:00,211.0,299.75,13.32,73.08,49.75,71.0,11.33,1.1,50.82,0.32,1.4,,,,,14.18,56.82,0.2,106.38,0.0,0.0,218.08,985.8,
2024-01-01 14:00:00,218.0,310.5,12.32,74.1,49.5,71.0,11.73,1.2,57.02,0.32,1.45,,,,,14.52,55.98,0.38,337.65,0.0,0.0,153.35,985.1,
2024-01-01 15:00:00,231.75,342.25,12.12,69.72,46.98,71.92,9.88,1.23,40.4,0.38,1.58,,,,,12.78,61.55,0.48,263.82,0.0,0.0,95.58,984.72,
2024-01-01 16:00:00,212.75,333.75,11.48,66.53,44.75,70.92,8.88,1.1,30.72,0.35,2.6,,,,,11.22,66.4,0.38,261.8,0.0,0.0,32.58,984.78,
2024-01-01 17:00:00,229.75,339.75,21.0,78.35,58.8,69.18,7.48,1.58,14.52,0.35,2.4,,,,,9.8,71.47,0.3,326.27,0.0,0.0,4.78,985.05,
2024-01-01 18:00:00,268.5,369.75,31.5,81.38,68.95,69.8,7.75,2.03,5.32,0.5,2.15,,,,,8.98,74.8,0.3,328.3,0.0,0.0,4.4,985.58,
2024-01-01 19:00:00,299.0,392.75,22.7,69.0,55.2,69.88,6.63,1.25,3.95,0.48,2.62,,,,,9.12,73.2,0.3,323.98,0.0,0.0,4.4,986.08,
2024-01-01 20:00:00,266.75,373.5,10.48,58.5,39.65,68.68,8.95,0.83,8.5,0.35,2.28,,,,,8.93,73.25,0.3,246.08,0.0,0.0,4.4,986.58,
2024-01-01 21:00:00,237.25,380.75,9.68,63.92,41.9,67.32,10.07,1.12,7.75,0.32,2.08,,,,,8.83,74.25,0.28,336.2,0.0,0.0,4.4,986.78,
2024-01-01 22:00:00,254.0,410.25,10.35,66.65,43.92,67.28,10.9,1.1,9.43,0.35,1.88,,,,,8.7,74.38,0.28,315.9,0.0,0.0,4.4,986.8,
2024-01-01 23:00:00,263.75,422.0,8.52,61.28,39.55,66.88,10.8,1.05,8.2,0.38,1.6,,,,,8.57,73.47,0.22,296.77,0.0,0.0,4.4,986.72,
2024-01-02 00:00:00,254.25,419.25,6.68,62.22,38.58,65.8,10.48,1.0,5.48,0.35,1.5,,,,,8.32,72.6,0.2,316.58,0.0,0.0,4.4,986.32,
2024-01-02 01:00:00,242.0,384.0,6.95,60.25,37.67,65.82,11.1,1.0,2.2,0.3,1.35,,,,,7.98,72.72,0.25,327.0,0.0,0.0,4.4,985.95,
2024-01-02 02:00:00,229.25,350.75,8.4,62.8,40.3,62.4,13.6,,2.8,0.3,1.2,,,,,7.68,72.97,0.25,289.05,0.0,0.0,4.4,985.88,
2024-01-02 03:00:00,224.25,325.5,11.42,62.85,42.75,62.2,11.88,1.05,2.68,0.3,1.1,,,,,7.78,73.3,0.25,288.75,0.0,0.0,4.4,985.7,
2024-01-02 04:00:00,212.25,297.25,9.0,56.55,37.4,59.6,10.8,1.07,3.32,0.28,1.08,,,,,7.52,72.93,0.28,302.38,0.0,0.0,4.43,985.48,
2024-01-02 05:00:00,202.25,274.0,8.85,46.15,31.72,59.5,10.42,1.1,4.1,0.28,1.05,,,,,7.35,73.6,0.3,231.18,0.0,0.0,4.4,985.45,
2024-01-02 06:00:00,208.25,287.25,11.08,44.45,32.72,60.92,11.35,1.1,3.5,0.28,1.2,,,,,7.3,73.1,0.28,216.92,0.0,0.0,4.38,986.02,
2024-01-02 07:00:00,223.25,309.75,16.08,45.88,37.5,62.7,15.1,1.12,3.35,0.28,1.2,,,,,7.15,72.78,0.22,88.5,0.0,0.0,4.45,986.85,
