Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,181.25,277.25,18.7,52.62,43.25,79.35,9.53,1.23,9.18,3.05,8.9,,,,,11.52,77.1,0.35,94.08,0.0,0.0,2.7,992.68,
2024-01-01 01:00:00,186.5,284.0,23.8,53.22,47.8,86.08,8.32,1.2,9.4,2.92,8.75,,,,,11.52,77.18,0.45,279.52,0.0,0.0,2.72,992.68,
2024-01-01 02:00:00,191.5,299.25,28.4,49.0,49.3,80.3,9.0,1.1,10.15,2.92,8.15,,,,,11.45,77.28,0.45,89.42,0.0,0.0,2.8,992.85,
2024-01-01 03:00:00,187.5,280.25,18.35,56.4,44.98,75.82,7.75,1.2,10.6,2.82,7.7,,,,,11.38,76.8,0.38,180.1,0.0,0.0,2.8,992.78,
2024-01-01 04:00:00,167.25,243.5,13.8,59.28,42.8,72.05,7.05,1.2,8.65,2.78,8.12,,,,,11.35,76.42,0.42,158.93,0.0,0.0,2.75,992.58,
2024-01-01 05:00:00,158.5,234.5,8.48,58.3,37.95,70.32,6.92,1.2,8.95,2.9,8.22,,,,,11.3,76.82,0.38,283.8,0.0,0.0,2.8,992.72,
2024-01-01 06:00:00,168.75,251.0,9.52,55.28,37.25,71.32,6.27,1.45,8.93,2.92,8.25,,,,,11.28,76.82,0.5,190.05,0.0,0.0,2.7,993.15,
2024-01-01 07:00:00,173.25,258.0,7.68,49.38,32.5,70.45,6.75,1.42,11.25,2.88,8.15,,,,,11.2,76.53,0.3,212.6,0.0,0.0,4.65,993.7,
2024-01-01 08:00:00,164.25,261.0,8.4,47.82,32.33,70.0,6.58,1.38,12.38,2.78,8.07,,,,,11.2,75.72,0.57,240.82,0.0,0.0,14.22,994.2,
2024-01-01 09:00:00,176.0,297.0,16.6,48.65,39.28,71.85,6.8,1.42,13.92,2.75,8.4,,,,,11.45,73.42,0.57,154.15,0.0,0.0,33.45,994.75,
2024-01-01 10:00:00,190.75,317.0,13.4,49.98,38.53,72.53,7.25,1.38,15.38,2.58,8.07,,,,,11.92,70.78,0.3,252.05,0.0,0.0,58.42,994.85,
2024-01-01 11:00:00,192.75,305.75,12.5,49.6,36.6,72.2,6.9,1.3,20.7,2.88,9.9,,,,,12.58,67.95,0.57,164.75,0.0,0.0,98.75,994.38,
2024-01-01 12:00:00,203.75,340.0,10.95,58.15,39.92,74.65,7.93,1.33,25.43,3.08,12.6,,,,,13.42,63.92,0.6,208.12,0.0,0.0,153.65,993.32,
2024-01-01 13:00:00,213.75,354.75,7.25,63.92,39.98,74.75,9.98,1.35,32.75,3.2,14.95,,,,,14.18,60.95,0.38,157.93,0.0,0.0,169.88,992.12,
2024-01-01 14:00:00,217.25,352.0,5.7,66.55,40.02,74.4,9.2,1.42,46.55,3.28,12.48,,,,,14.4,59.82,0.85,213.45,0.0,0.0,118.2,991.32,
2024-01-01 15:00:00,212.25,349.75,6.45,65.78,40.22,72.12,8.2,1.32,34.8,3.22,12.98,,,,,13.5,64.08,0.8,255.72,0.0,0.0,65.88,991.02,
2024-01-01 16:00:00,211.5,359.25,6.3,61.93,38.1,72.35,7.78,1.2,32.23,3.1,19.3,,,,,12.72,67.72,0.75,231.23,0.0,0.0,30.3,991.08,
2024-01-01 17:00:00,206.5,347.75,10.5,69.0,45.2,76.08,6.5,1.27,16.9,3.48,22.2,,,,,11.82,71.97,0.68,217.4,0.0,0.0,5.68,991.35,
2024-01-01 18:00:00,203.75,325.0,16.2,67.4,49.0,71.48,6.53,1.47,16.12,3.82,22.4,,,,,11.32,75.05,0.6,223.22,0.0,0.0,2.78,991.92,
2024-01-01 19:00:00,195.5,307.25,17.82,59.78,46.38,63.03,6.6,1.35,12.15,3.42,23.88,,,,,11.35,74.35,0.55,233.0,0.0,0.0,2.78,992.4,
2024-01-01 20:00:00,187.5,303.25,10.07,56.85,38.5,61.85,6.0,1.18,16.02,3.28,21.18,,,,,11.22,74.62,0.62,230.4,0.0,0.0,2.75,992.92,
2024-01-01 21:00:00,212.75,360.25,8.88,61.75,40.1,63.05,7.07,1.18,14.52,3.22,18.58,,,,,11.15,75.22,0.6,193.98,0.0,0.0,2.78,993.08,
2024-01-01 22:00:00,240.0,414.25,11.32,63.2,42.9,64.78,7.1,1.23,14.82,3.32,16.8,,,,,11.15,75.5,0.52,221.38,0.0,0.0,2.75,993.12,
2024-01-01 23:00:00,244.25,422.25,6.28,62.3,38.28,64.3,6.6,1.02,14.85,3.12,13.55,,,,,11.1,75.25,0.48,213.48,0.0,0.0,2.8,993.1,
2024-01-02 00:00:00,247.5,427.25,7.55,57.55,36.88,63.42,6.77,0.92,11.58,3.15,11.42,,,,,10.98,74.22,0.5,241.7,0.0,0.0,2.78,992.68,
2024-01-02 01:00:00,239.25,420.25,5.6,57.32,35.1,66.9,7.08,0.78,6.6,3.15,10.58,,,,,10.7,74.15,0.4,256.27,0.0,0.0,2.82,992.35,
2024-01-02 02:00:00,217.5,380.25,9.0,55.9,37.1,61.7,8.4,0.6,7.88,2.85,9.12,,,,,10.5,74.42,0.4,221.15,0.0,0.0,2.88,992.35,
2024-01-02 03:00:00,211.75,351.5,9.85,55.47,37.6,58.5,7.95,0.57,8.52,2.62,7.82,,,,,10.52,74.35,0.42,181.5,0.0,0.0,2.7,991.98,
2024-01-02 04:00:00,203.0,323.0,7.85,55.92,36.22,57.68,7.05,0.48,7.9,2.28,6.42,,,,,10.42,74.22,0.43,214.8,0.0,0.0,2.7,991.7,
2024-01-02 05:00:00,184.75,281.0,8.22,48.62,32.52,57.22,6.48,0.5,9.55,2.05,5.55,,,,,10.2,74.85,0.55,208.35,0.0,0.0,2.7,991.75,
2024-01-02 06:00:00,181.5,274.0,10.07,42.32,30.7,58.45,7.0,0.5,10.45,1.9,6.3,,,,,10.2,74.9,0.43,222.1,0.0,0.0,2.72,992.32,
2024-01-02 07:00:00,202.25,311.0,15.32,42.7,35.15,60.55,5.95,0.5,10.58,2.02,8.2,,,,,10.15,74.15,0.45,148.9,0.0,0.0,5.6,993.12,
2024-01-02 08:00:00,213.0,334.25,25.75,43.95,44.4,65.62,7.3,0.52,8.7,1.9,8.1,,,,,10.38,72.82,0.6,209.98,0.0,0.0,19.02,993.92,
2024-01-02 09:00:00,238.5,373.5,23.8,45.7,43.7,66.62,9.45,0.62,10.72,1.98,8.02,,,,,10.8,70.2,0.52,209.42,0.0,0.0,55.82,994.6,
2024-01-02 10:00:00,250.25,388.75,22.2,49.82,44.6,67.12,9.48,0.8,17.5,2.2,9.75,,,,,11.6,66.12,0.65,214.4,0.0,0.0,93.52,994.65,
2024-01-02 11:00:00,243.25,382.0,17.88,59.25,46.1,66.32,8.98,0.88,20.95,2.55,11.15,,,,,12.48,62.3,0.65,186.72,0.0,0.0,135.28,993.98,
2024-01-02 12:00:00,229.75,362.75,10.0,64.5,42.4,79.0,10.1,1.0,30.97,2.45,11.68,,,,,13.6,57.42,0.35,213.62,0.0,0.0,234.68,992.78,
2024-01-02 13:00:00,198.0,323.0,9.02,67.5,43.2,77.45,8.9,1.1,43.85,2.58,11.58,,,,,13.62,57.3,0.52,175.12,0.0,0.0,222.42,991.52,
2024-01-02 14:00:00,176.25,293.75,6.08,66.3,40.22,71.03,7.88,1.25,61.0,2.48,9.62,,,,,13.8,56.48,0.6,218.42,0.0,0.0,134.68,990.6,
2024-01-02 15:00:00,174.0,287.0,3.92,65.18,37.88,71.7,8.0,1.42,72.2,3.15,11.38,,,,,13.7,57.52,0.42,261.35,0.0,0.0,62.25,990.3,
2024-01-02 16:00:00,191.25,349.25,3.93,64.3,37.47,71.45,7.55,1.45,67.7,3.85,15.58,,,,,13.25,59.65,0.57,194.98,0.0,0.0,29.15,990.12,
2024-01-02 17:00:00,194.0,358.75,4.0,78.42,44.92,76.12,8.62,1.68,46.32,4.27,22.18,,,,,12.4,63.72,0.38,65.92,0.0,0.0,6.08,990.25,
2024-01-02 18:00:00,219.0,384.0,4.1,90.7,51.4,87.68,8.03,2.1,18.4,4.82,24.48,,,,,11.45,69.82,0.35,43.42,0.0,0.0,2.65,990.72,
2024-01-02 19:00:00,248.0,432.5,158.1,113.83,188.73,100.9,9.85,4.03,15.62,5.08,27.42,,,,,11.08,73.22,0.35,42.1,0.0,0.0,2.65,991.18,
2024-01-02 20:00:00,305.5,540.5,104.2,104.77,140.77,115.42,9.32,3.18,11.42,6.2,30.9,,,,,11.22,74.38,0.98,183.2,0.0,0.0,2.62,991.58,
2024-01-02 21:00:00,250.0,403.5,89.72,78.82,114.93,108.75,10.22,2.68,11.48,5.3,29.92,,,,,10.82,78.0,0.9,207.75,0.0,0.0,2.7,991.82,
2024-01-02 22:00:00,254.0,391.0,41.68,63.2,67.62,89.68,16.68,1.72,8.45,4.6,24.8,,,,,10.35,81.62,1.23,182.78,0.0,0.0,2.7,991.9,
2024-01-02 23:00:00,207.5,323.5,45.18,56.68,67.03,86.05,15.18,1.6,8.18,4.3,15.6,,,,,10.15,83.0,1.12,176.58,0.0,0.0,2.7,991.92,
2024-01-03 00:00:00,193.0,304.5,43.22,52.05,62.9,85.9,13.1,1.55,7.88,4.0,11.52,,,,,10.15,82.75,0.7,180.78,0.0,0.0,2.72,991.82,
2024-01-03 01:00:00,188.75,311.75,34.98,50.5,55.42,87.7,10.8,1.48,,4.0,10.42,,,,,9.72,85.3,0.75,180.05,0.0,0.0,2.78,991.62,
2024-01-03 02:00:00,178.25,290.75,,,,71.9,7.1,1.3,8.12,4.05,10.12,,,,,9.72,86.98,1.08,185.05,0.0,0.0,2.78,991.62,
2024-01-03 03:00:00,153.25,254.25,11.08,47.38,34.22,69.68,6.88,1.3,4.2,3.55,8.98,,,,,9.88,87.8,0.75,197.82,0.0,0.0,2.7,991.58,
2024-01-03 04:00:00,136.25,243.25,5.35,42.15,26.78,67.2,6.25,1.2,7.28,3.12,7.28,,,,,9.88,88.22,0.78,190.6,0.0,0.0,2.75,991.5,
2024-01-03 05:00:00,128.0,233.75,3.7,35.55,21.95,65.05,5.78,1.1,10.6,2.88,7.08,,,,,9.9,88.98,0.55,194.6,0.0,0.0,2.72,991.62,
2024-01-03 06:00:00,127.25,239.5,3.35,37.05,22.42,65.82,5.63,1.18,8.85,2.85,6.48,,,,,10.07,88.92,0.32,218.55,0.0,0.0,2.75,992.08,
2024-01-03 07:00:00,131.0,266.0,7.12,38.6,26.25,69.5,6.15,1.25,11.18,3.02,7.35,,,,,10.0,87.8,0.4,161.48,0.0,0.0,3.92,992.58,
2024-01-03 08:00:00,148.5,256.25,8.25,44.68,30.5,71.55,5.98,1.4,11.35,3.15,7.5,,,,,9.95,87.02,0.52,180.32,0.0,0.0,11.1,993.3,
2024-01-03 09:00:00,153.5,249.25,18.52,49.28,41.42,73.82,5.35,1.55,9.7,3.12,8.0,,,,,10.18,84.75,0.57,22.92,0.0,0.0,26.75,994.1,
2024-01-03 10:00:00,183.0,304.75,14.25,57.68,42.25,80.03,6.02,1.7,11.25,3.38,9.43,,,,,10.9,79.8,0.48,129.72,0.0,0.0,43.12,994.48,
2024-01-03 11:00:00,220.5,416.0,16.23,63.62,47.1,87.12,6.55,1.8,16.25,3.8,14.28,,,,,11.68,75.47,0.6,111.15,0.0,0.0,89.0,993.88,
2024-01-03 12:00:00,252.0,374.0,12.28,70.5,47.5,93.18,7.7,1.82,21.55,4.08,14.38,,,,,12.62,70.18,0.6,192.62,0.0,0.0,136.1,992.95,
2024-01-03 13:00:00,280.5,401.5,12.22,86.62,55.92,107.92,8.7,2.0,37.8,3.65,14.18,,,,,13.3,66.62,0.48,211.72,0.0,0.0,146.7,991.85,
2024-01-03 14:00:00,302.25,431.0,9.35,89.25,55.1,104.08,9.12,2.48,37.52,4.7,16.95,,,,,13.08,67.9,0.62,220.52,0.0,0.0,99.22,991.02,
2024-01-03 15:00:00,337.5,493.0,9.65,83.58,52.35,100.45,8.68,1.9,32.35,5.45,19.92,,,,,12.7,69.88,0.5,229.58,0.0,0.0,61.62,990.7,
2024-01-03 16:00:00,276.25,410.0,6.65,72.53,43.98,94.2,8.38,1.58,32.25,4.42,17.5,,,,,12.12,72.85,0.75,224.22,0.0,0.0,28.6,990.8,
