Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,168.5,303.25,8.93,48.6,33.12,36.15,2.98,0.95,30.2,0.6,1.72,,,,,10.05,81.62,1.1,236.27,0.0,0.0,52.35,994.85,
2024-01-01 01:00:00,178.5,321.5,7.98,43.42,29.5,39.55,2.93,0.85,30.8,0.5,1.95,,,,,10.02,81.7,1.45,177.23,0.0,0.0,53.05,994.8,
2024-01-01 02:00:00,166.5,299.5,11.0,48.6,34.9,29.5,2.3,0.8,28.4,0.52,1.62,,,,,10.0,81.78,1.0,293.75,0.0,0.0,53.72,994.98,
2024-01-01 03:00:00,161.5,291.0,10.52,48.8,34.58,27.02,2.5,0.8,18.55,0.52,1.4,,,,,9.95,81.5,0.9,316.73,0.0,0.0,53.7,994.92,
2024-01-01 04:00:00,161.5,290.75,5.15,43.08,27.18,28.25,2.68,0.8,14.55,0.57,1.3,,,,,9.9,81.6,1.5,333.42,0.0,0.0,53.6,994.72,
2024-01-01 05:00:00,165.5,298.0,7.1,36.02,24.82,28.7,2.45,0.72,12.25,0.55,1.38,,,,,9.82,81.72,1.32,329.62,0.0,0.0,53.78,994.88,
2024-01-01 06:00:00,160.5,288.75,4.32,29.0,18.9,22.72,1.85,0.55,10.18,0.43,1.12,,,,,9.6,82.02,1.1,330.62,0.0,0.0,53.7,995.35,
2024-01-01 07:00:00,149.0,268.25,4.58,23.4,16.18,23.22,1.27,0.5,9.1,0.4,1.0,,,,,9.5,82.08,2.1,182.6,0.0,0.0,55.22,995.85,
2024-01-01 08:00:00,147.75,266.0,6.48,23.1,17.58,23.88,1.98,0.48,8.65,0.4,1.25,,,,,9.52,81.38,2.28,93.72,0.0,0.0,63.9,996.32,
2024-01-01 09:00:00,156.25,281.0,7.52,24.65,19.2,24.6,2.02,0.6,9.9,0.4,0.92,,,,,9.65,80.4,2.38,181.85,0.0,0.0,77.82,996.85,
2024-01-01 10:00:00,167.75,302.0,6.72,28.1,20.4,25.48,1.95,0.75,10.02,0.4,0.92,,,,,10.07,77.47,0.98,175.02,0.0,0.0,105.35,997.02,
2024-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-01 13:00:00,212.0,382.0,8.35,50.95,33.95,31.6,2.7,1.1,21.3,0.55,1.5,,,,,13.05,61.35,1.9,349.8,0.0,0.0,192.95,994.15,
2024-01-01 14:00:00,213.0,383.75,5.28,48.02,29.8,36.75,2.17,1.12,27.95,0.82,2.55,,,,,12.82,62.08,2.9,353.55,0.0,0.0,166.52,993.75,
2024-01-01 15:00:00,196.25,353.5,6.62,41.15,27.22,36.0,1.45,0.97,23.42,0.62,3.1,,,,,12.0,66.68,3.3,354.65,0.0,0.0,122.35,993.35,
2024-01-01 16:00:00,181.25,326.5,5.6,38.33,24.98,34.95,1.32,0.75,20.95,0.6,6.0,,,,,11.1,71.4,2.92,352.52,0.0,0.0,80.72,993.35,
2024-01-01 17:00:00,175.0,314.75,4.97,37.98,24.18,34.05,1.38,0.7,17.38,0.57,4.65,,,,,10.3,76.22,2.32,351.65,0.0,0.0,56.08,993.58,
2024-01-01 18:00:00,164.0,295.0,6.2,41.82,27.32,33.08,1.12,0.72,13.68,0.52,4.03,,,,,9.98,78.08,1.8,324.48,0.0,0.0,53.68,994.05,
