Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,539.50,619.25,119.55,69.90,134.60,61.52,13.20,5.55,122.68,11.95,25.12,NA,NA,NA,NA,6.70,90.30,0.30,182.00,NA,0.00,8.20,735.54,NA
2021-01-01 01:00:00,586.00,668.25,147.38,54.75,149.30,63.18,13.75,6.20,130.90,11.20,23.67,NA,NA,NA,NA,6.10,89.25,0.30,175.50,NA,0.00,8.20,735.62,NA
2021-01-01 02:00:00,631.75,736.25,156.30,49.10,153.50,56.70,14.60,6.60,130.95,NA,27.35,NA,NA,NA,NA,5.62,94.00,0.30,182.00,NA,0.00,8.33,735.99,NA
2021-01-01 03:00:00,656.00,828.50,151.10,46.05,147.68,54.15,14.02,6.60,130.15,15.80,26.70,NA,NA,NA,NA,5.35,94.00,0.30,184.50,NA,0.00,8.38,735.84,NA
2021-01-01 04:00:00,615.50,719.25,269.50,43.18,242.70,50.88,16.58,6.15,116.15,NA,NA,NA,NA,NA,NA,5.00,93.95,0.30,180.75,NA,0.00,8.43,735.81,NA
2021-01-01 05:00:00,539.00,634.25,298.65,41.80,265.70,50.40,17.33,5.62,104.70,NA,NA,NA,NA,NA,NA,4.78,93.90,0.30,163.00,NA,0.00,8.45,735.79,NA
2021-01-01 06:00:00,539.00,593.00,300.23,45.72,269.10,51.45,11.80,5.22,99.60,NA,NA,NA,NA,NA,NA,4.80,93.93,0.30,139.75,NA,0.00,8.38,735.96,NA
2021-01-01 07:00:00,551.00,603.75,298.17,44.75,266.88,56.12,9.68,5.42,122.80,NA,NA,NA,NA,NA,NA,4.77,93.93,0.30,152.50,NA,0.00,13.30,735.86,NA
2021-01-01 08:00:00,637.00,720.50,318.30,69.12,296.30,65.03,13.30,5.80,152.22,NA,NA,NA,NA,NA,NA,5.12,94.00,0.30,122.50,NA,0.00,24.88,735.97,NA
2021-01-01 09:00:00,774.75,949.00,205.58,123.38,233.25,61.98,11.15,5.70,129.60,NA,NA,NA,NA,NA,NA,6.50,93.65,0.30,137.25,NA,0.00,65.65,735.86,NA
2021-01-01 10:00:00,768.25,874.00,150.57,257.38,259.53,67.98,12.70,6.07,164.35,NA,NA,NA,NA,NA,NA,10.22,79.25,0.30,138.25,NA,0.00,120.88,735.71,NA
2021-01-01 11:00:00,887.25,NA,78.22,268.65,206.62,52.60,8.45,5.35,33.50,8.70,28.25,NA,NA,NA,NA,13.70,66.98,0.30,120.00,NA,0.00,157.60,735.62,NA
2021-01-01 12:00:00,929.25,NA,28.42,185.73,121.95,55.62,12.70,4.10,NA,8.02,27.88,NA,NA,NA,NA,15.28,64.30,0.43,120.50,NA,0.00,167.82,735.58,NA
2021-01-01 13:00:00,732.25,669.00,23.42,145.45,96.45,56.02,12.85,3.12,NA,7.80,23.85,NA,NA,NA,NA,15.18,65.50,0.50,115.25,NA,0.00,141.82,735.90,NA
2021-01-01 14:00:00,512.75,658.25,19.10,135.40,87.58,56.62,12.32,2.92,7.30,7.60,21.50,NA,NA,NA,NA,15.77,63.60,0.55,113.00,NA,0.00,109.48,735.64,NA
2021-01-01 15:00:00,463.75,623.00,24.02,137.30,92.60,64.62,13.32,2.70,10.35,7.00,22.18,NA,NA,NA,NA,15.32,62.65,0.40,110.00,NA,0.00,62.32,735.94,NA
2021-01-01 16:00:00,420.50,591.75,26.48,138.48,95.28,73.18,13.82,2.80,8.80,6.48,24.80,NA,NA,NA,NA,14.10,61.38,0.30,125.50,NA,0.00,29.58,735.92,NA
2021-01-01 17:00:00,342.50,487.00,45.48,134.00,108.35,61.75,16.15,2.47,9.98,6.55,24.15,NA,NA,NA,NA,12.60,57.97,0.30,120.00,NA,0.00,11.00,735.82,NA
2021-01-01 18:00:00,257.75,382.00,71.03,120.98,122.25,54.92,10.28,2.92,9.05,7.40,23.95,NA,NA,NA,NA,10.95,64.35,0.30,166.25,NA,0.00,8.05,735.92,NA
