Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,228.98,345.31,16.14,5.61,0.00,NA,NA,4.42,20.19,0.00,0.00,0.00,NA,NA,NA,8.86,88.00,NA,NA,NA,0.00,NA,984.60,NA
2018-01-01 01:00:00,217.15,308.43,14.68,3.92,0.00,NA,NA,4.45,21.26,0.00,0.00,0.00,NA,NA,NA,9.02,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 02:00:00,236.45,341.68,18.06,4.96,0.00,NA,NA,4.49,19.57,0.00,0.00,0.00,NA,NA,NA,8.70,88.00,NA,NA,NA,0.00,11.33,986.00,NA
2018-01-01 03:00:00,257.21,407.06,21.20,7.42,0.00,NA,NA,4.53,20.87,0.00,0.00,0.00,NA,NA,NA,9.10,88.00,NA,NA,NA,0.00,43.17,986.67,NA
2018-01-01 04:00:00,257.58,423.45,23.51,9.18,0.00,NA,NA,4.57,32.98,0.00,0.00,0.00,NA,NA,NA,9.92,88.00,NA,NA,NA,0.00,144.50,987.00,NA
2018-01-01 05:00:00,287.10,415.26,21.10,8.01,0.00,NA,NA,4.62,17.59,0.00,0.00,0.00,NA,NA,NA,13.02,75.00,NA,NA,NA,0.00,233.50,986.75,NA
2018-01-01 06:00:00,214.06,312.35,13.55,3.98,0.00,NA,NA,4.67,14.70,0.00,0.00,0.00,NA,NA,NA,15.85,61.67,NA,NA,NA,0.00,202.00,985.67,NA
2018-01-01 07:00:00,155.02,225.83,10.40,3.44,0.00,NA,NA,4.71,13.77,0.00,0.00,0.00,NA,NA,NA,16.62,56.50,NA,NA,NA,0.00,176.33,984.67,NA
2018-01-01 08:00:00,121.37,222.70,10.61,5.27,0.00,NA,NA,4.73,14.07,0.00,0.00,0.00,NA,NA,NA,17.70,45.00,NA,NA,NA,0.00,185.17,983.50,NA
2018-01-01 09:00:00,179.45,251.76,11.97,3.19,0.00,NA,NA,4.72,19.75,0.00,0.00,0.00,NA,NA,NA,17.45,50.67,NA,NA,NA,0.00,133.83,983.00,NA
2018-01-01 10:00:00,195.56,294.93,15.51,24.00,0.00,NA,NA,4.70,34.97,0.00,0.00,0.00,NA,NA,NA,16.70,58.17,NA,NA,NA,0.00,75.17,983.00,NA
2018-01-01 11:00:00,217.46,393.78,24.60,21.07,0.00,NA,NA,4.68,97.65,0.00,0.00,0.00,NA,NA,NA,15.36,66.20,NA,NA,NA,0.00,22.60,983.40,NA
2018-01-01 12:00:00,261.80,428.58,55.11,43.91,0.00,NA,NA,4.66,96.28,0.00,0.00,0.00,NA,NA,NA,13.93,71.33,NA,NA,NA,0.00,NA,984.00,NA
2018-01-01 13:00:00,302.79,485.06,93.03,37.73,0.00,NA,NA,4.64,131.09,0.00,0.00,0.00,NA,NA,NA,13.12,76.83,NA,NA,NA,0.00,NA,984.50,NA
2018-01-01 14:00:00,269.99,411.08,125.42,78.12,0.00,NA,NA,4.61,112.95,0.00,0.00,0.00,NA,NA,NA,12.48,79.33,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 15:00:00,231.10,361.19,142.61,63.91,0.00,NA,NA,4.55,99.04,0.00,0.00,0.00,NA,NA,NA,11.82,81.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 16:00:00,192.68,297.11,142.09,56.55,0.00,NA,NA,4.49,66.56,0.00,0.00,0.00,NA,NA,NA,10.68,85.50,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 17:00:00,207.00,230.64,114.51,94.18,60.86,NA,NA,4.40,61.40,0.00,0.00,0.00,NA,NA,NA,10.10,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 18:00:00,232.65,339.53,92.99,36.07,89.70,NA,NA,4.34,40.41,0.00,0.00,0.00,NA,NA,NA,9.35,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 19:00:00,211.82,338.74,53.06,45.09,99.16,NA,NA,4.27,58.61,0.00,0.00,0.00,NA,NA,NA,8.97,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 20:00:00,205.21,327.14,26.20,17.50,33.61,NA,NA,4.22,60.35,0.00,0.00,0.00,NA,NA,NA,8.70,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 21:00:00,226.75,354.50,27.29,18.57,13.27,NA,NA,4.21,45.83,0.00,0.00,0.00,NA,NA,NA,8.35,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-01 22:00:00,256.84,342.44,26.45,20.40,0.00,NA,NA,4.24,40.13,0.00,0.00,0.00,NA,NA,NA,8.04,88.00,NA,NA,NA,0.00,NA,984.80,NA
2018-01-01 23:00:00,228.84,375.08,16.94,2.26,0.00,NA,NA,4.27,15.11,0.00,0.00,0.00,NA,NA,NA,8.07,88.00,NA,NA,NA,0.00,NA,984.67,NA
2018-01-02 00:00:00,204.67,363.39,9.93,7.15,0.00,NA,NA,4.27,12.92,0.00,0.00,0.00,NA,NA,NA,7.82,88.00,NA,NA,NA,0.00,NA,985.00,NA
2018-01-02 01:00:00,169.51,344.66,11.67,7.25,0.00,NA,NA,4.23,12.33,0.00,0.00,0.00,NA,NA,NA,7.80,88.00,NA,NA,NA,0.00,NA,985.67,NA
2018-01-02 02:00:00,175.52,302.80,11.71,4.94,0.00,NA,NA,4.15,12.31,0.00,0.00,0.00,NA,NA,NA,7.68,88.00,NA,NA,NA,0.00,8.67,986.50,NA
2018-01-02 03:00:00,218.56,323.86,11.26,11.07,0.00,NA,NA,4.06,11.92,0.00,0.00,0.00,NA,NA,NA,8.28,85.17,NA,NA,NA,0.00,46.00,987.17,NA
2018-01-02 04:00:00,227.96,395.87,12.10,11.57,0.00,NA,NA,3.97,11.52,0.00,0.00,0.00,NA,NA,NA,9.28,79.00,NA,NA,NA,0.00,144.50,987.83,NA
2018-01-02 05:00:00,199.08,450.24,21.52,12.84,0.00,NA,NA,3.88,11.42,0.00,0.00,0.00,NA,NA,NA,11.33,69.33,NA,NA,NA,0.00,241.00,987.00,NA
2018-01-02 06:00:00,178.54,362.05,12.37,12.89,0.00,NA,NA,3.78,11.58,0.00,0.00,0.00,NA,NA,NA,12.94,62.40,NA,NA,NA,0.00,269.60,986.40,NA
2018-01-02 07:00:00,171.66,312.39,18.66,8.22,0.00,NA,NA,3.68,11.57,0.00,0.00,0.00,NA,NA,NA,14.00,58.00,NA,NA,NA,0.00,258.17,985.33,NA
2018-01-02 08:00:00,200.62,307.69,13.32,5.71,0.00,NA,NA,3.57,11.24,0.00,0.00,0.00,NA,NA,NA,14.45,57.00,NA,NA,NA,0.00,219.00,984.17,NA
2018-01-02 09:00:00,218.21,328.45,10.94,5.58,0.00,NA,NA,3.49,24.68,0.00,0.00,0.00,NA,NA,NA,15.06,54.40,NA,NA,NA,0.00,158.40,984.00,NA
2018-01-02 10:00:00,229.16,368.44,10.27,6.64,0.00,NA,NA,3.43,15.90,0.00,0.00,0.00,NA,NA,NA,15.23,54.83,NA,NA,NA,0.00,96.00,984.00,NA
2018-01-02 11:00:00,228.58,350.38,10.71,4.08,0.00,NA,NA,3.39,17.82,0.00,0.00,0.00,NA,NA,NA,14.43,60.67,NA,NA,NA,0.00,21.33,984.00,NA
2018-01-02 12:00:00,218.93,358.25,11.03,4.97,0.00,NA,NA,3.38,27.70,0.00,0.00,0.00,NA,NA,NA,13.55,64.50,NA,NA,NA,0.00,NA,984.83,NA
2018-01-02 13:00:00,268.14,443.03,10.57,4.40,0.00,NA,NA,3.40,30.49,0.00,0.00,0.00,NA,NA,NA,12.77,68.83,NA,NA,NA,0.00,NA,985.00,NA
2018-01-02 14:00:00,283.77,464.32,9.71,5.90,0.00,NA,NA,3.42,41.06,0.00,0.00,0.00,NA,NA,NA,12.25,72.83,NA,NA,NA,0.00,NA,985.67,NA
2018-01-02 15:00:00,248.01,439.42,18.11,7.47,0.00,NA,NA,3.46,36.95,0.00,0.00,0.00,NA,NA,NA,11.80,74.67,NA,NA,NA,0.00,NA,986.00,NA
