Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,200.75,322.5,67.85000000000001,24.225,92.175,125.425,3.65,1.375,0.7,3.1,9.025,,,,,14.125,89.075,0.4,188.125,0.0,0.0,4.35,981.1,
2023-01-01 01:00:00,196.25,288.5,54.900000000000006,21.0,75.55,124.05,3.3333333333333335,1.2000000000000002,0.5,3.15,9.075,,,,,13.225,90.125,0.325,180.075,0.0,0.0,4.375,980.775,
2023-01-01 02:00:00,191.75,266.25,47.6,11.2,58.7,110.1,2.7,1.1,0.75,3.0,8.95,,,,,12.3,90.125,0.3,202.725,0.0,0.0,4.4,980.35,
2023-01-01 03:00:00,182.0,243.25,67.7,10.925,78.625,106.9,2.45,1.1333333333333335,0.8250000000000001,2.8,8.375,,,,,11.9,89.5,0.35,202.825,0.0,0.0,4.375,980.1,
2023-01-01 04:00:00,172.5,224.25,119.05,11.275,130.2,107.5,2.9,1.65,0.8,2.625,6.925,,,,,11.575,89.0,0.3,203.14999999999998,0.0,0.0,4.375,980.05,
2023-01-01 05:00:00,162.25,208.0,84.75,10.575,95.375,102.225,2.575,1.25,0.775,2.325,5.25,,,,,11.6,88.8,0.35,198.04999999999998,0.0,0.0,4.4,980.2,
2023-01-01 06:00:00,131.75,175.5,135.525,9.55,144.625,98.425,2.0250000000000004,1.175,0.825,2.125,4.275,,,,,12.25,91.175,0.375,153.075,0.0,0.0,4.425000000000001,980.55,
2023-01-01 07:00:00,130.75,191.25,230.5,18.475,244.675,109.82499999999999,3.0666666666666664,1.2333333333333334,0.625,2.525,5.0,,,,,13.125,89.85,0.4,135.65,0.0,0.0,12.325,981.125,
2023-01-01 08:00:00,159.75,227.5,104.625,23.950000000000003,127.95,105.25,2.2,1.25,0.825,2.65,5.95,,,,,13.625,89.75,0.325,183.97500000000002,0.0,0.0,57.325,981.95,
2023-01-01 09:00:00,137.5,210.5,145.775,63.375,213.775,118.775,2.2,1.275,1.05,2.175,3.575,,,,,15.525,78.77499999999999,0.5,182.42499999999998,0.0,0.0,86.55,983.125,
2023-01-01 10:00:00,132.0,226.5,81.675,62.825,143.15,126.75,2.5,1.275,2.675,2.25,4.925,,,,,17.3,65.175,0.575,179.275,0.0,0.0,97.1,983.25,
