Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,578.00,853.00,285.65,71.21,NA,44.42,18.73,7.77,7.50,11.89,30.06,NA,NA,NA,NA,5.39,84.67,0.30,193.83,NA,0.00,2.83,729.00,-0.09
2018-01-01 01:00:00,520.00,724.00,417.64,53.76,NA,46.77,0.07,6.69,7.78,10.92,28.36,NA,NA,NA,NA,4.93,85.00,0.30,190.75,NA,0.00,2.83,728.92,-0.08
2018-01-01 02:00:00,456.00,697.00,334.10,45.84,NA,46.15,NA,5.26,6.75,10.41,27.42,NA,NA,NA,NA,4.49,85.92,0.30,196.17,NA,0.00,2.75,728.92,-0.08
2018-01-01 03:00:00,395.00,615.00,278.22,53.85,441.97,45.73,NA,3.57,5.49,10.18,27.23,NA,NA,NA,NA,4.54,86.17,0.30,193.92,NA,0.00,2.75,728.42,-0.09
2018-01-01 04:00:00,343.00,541.00,239.20,85.17,415.74,45.83,3.23,2.15,3.40,7.96,21.82,NA,NA,NA,NA,4.74,86.83,0.30,198.58,NA,0.00,2.25,729.42,-0.04
2018-01-01 05:00:00,300.00,537.00,195.20,91.07,359.11,46.34,0.27,1.36,4.67,11.25,31.20,NA,NA,NA,NA,4.62,86.83,0.30,200.17,NA,0.00,2.50,729.25,-0.08
2018-01-01 06:00:00,298.00,528.00,183.11,75.28,327.55,46.42,0.06,3.94,5.23,8.38,23.86,NA,NA,NA,NA,4.67,87.00,0.30,222.00,NA,0.00,2.33,729.25,-0.08
2018-01-01 07:00:00,307.00,516.00,99.16,68.25,202.68,45.03,NA,3.01,4.72,11.79,34.33,NA,NA,NA,NA,5.27,87.00,0.30,209.50,NA,0.00,4.92,729.67,-0.04
2018-01-01 08:00:00,233.00,329.00,68.34,74.15,164.61,45.08,6.42,2.34,5.65,9.32,28.07,NA,NA,NA,NA,5.88,87.83,0.30,209.83,NA,0.00,18.92,729.42,-0.04
2018-01-01 09:00:00,239.00,338.00,49.43,87.88,150.58,47.00,2.23,1.94,5.80,9.32,26.84,NA,NA,NA,NA,6.69,87.92,0.30,217.92,NA,0.00,73.50,729.17,-0.08
