Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,406.00,665.00,244.20,85.15,244.95,76.38,18.80,3.17,1.97,5.35,39.85,NA,NA,NA,NA,9.00,56.25,0.28,234.62,0.00,0.00,3.30,996.60,NA
2019-01-01 01:00:00,401.00,620.00,143.82,70.55,154.80,72.18,16.25,2.60,1.90,5.23,40.70,NA,NA,NA,NA,8.38,61.70,0.80,259.38,0.00,0.00,3.18,996.50,NA
2019-01-01 02:00:00,376.00,572.00,79.40,36.50,84.30,51.80,10.30,1.80,2.27,4.50,35.12,NA,NA,NA,NA,8.95,59.85,0.58,286.40,0.00,0.00,3.12,996.35,NA
2019-01-01 03:00:00,340.00,494.00,78.05,46.97,88.67,52.80,11.33,1.80,3.28,4.25,33.87,NA,NA,NA,NA,8.45,63.93,0.58,279.88,0.00,0.00,3.10,996.07,NA
2019-01-01 04:00:00,371.00,534.00,91.62,44.45,98.55,55.92,11.22,1.53,2.72,4.02,35.47,NA,NA,NA,NA,7.65,70.38,0.45,261.15,0.00,0.00,3.10,995.32,NA
2019-01-01 05:00:00,345.00,500.00,97.40,39.52,100.20,57.97,14.87,1.87,2.93,4.00,36.10,NA,NA,NA,NA,7.35,74.10,0.73,271.80,0.00,0.00,3.10,994.85,NA
2019-01-01 06:00:00,340.00,504.00,135.77,45.73,134.75,69.17,17.00,1.92,3.30,5.08,34.25,NA,NA,NA,NA,7.37,69.33,0.58,310.25,0.00,0.00,3.05,995.17,NA
2019-01-01 07:00:00,337.00,522.00,129.93,61.33,138.42,78.77,20.25,2.10,3.07,6.23,35.13,NA,NA,NA,NA,7.45,73.05,0.48,220.82,0.00,0.00,16.55,996.55,NA
2019-01-01 08:00:00,490.00,680.00,115.12,76.58,134.47,88.25,25.60,2.25,2.95,5.93,37.93,NA,NA,NA,NA,9.45,57.10,0.40,196.10,0.00,0.00,73.73,997.40,NA
2019-01-01 09:00:00,593.00,838.00,42.03,85.83,80.05,80.48,29.73,2.02,4.15,5.70,36.68,NA,NA,NA,NA,12.60,13.43,1.25,210.83,0.00,0.00,142.17,998.20,NA
2019-01-01 10:00:00,439.00,670.00,12.87,57.27,41.05,67.77,36.60,1.50,21.02,4.42,28.10,NA,NA,NA,NA,15.62,0.30,0.95,236.95,0.00,0.00,308.23,998.27,NA
2019-01-01 11:00:00,343.00,492.75,6.45,41.73,27.35,63.50,37.70,1.10,46.88,3.38,23.32,NA,NA,NA,NA,18.25,0.30,0.90,267.25,0.00,0.00,272.53,997.47,NA
2019-01-01 12:00:00,277.00,423.00,3.50,24.82,16.05,64.60,34.62,0.82,83.23,3.20,26.50,NA,NA,NA,NA,20.08,0.30,0.85,275.95,0.00,0.00,390.58,996.38,NA
2019-01-01 13:00:00,224.00,355.00,2.27,19.52,12.22,58.27,38.05,0.55,86.73,2.35,19.07,NA,NA,NA,NA,21.50,0.30,0.67,295.33,0.00,0.00,406.80,995.12,NA
2019-01-01 14:00:00,161.00,NA,1.68,17.40,10.60,55.40,35.62,0.53,95.55,1.90,18.65,NA,NA,NA,NA,21.43,0.30,1.20,318.82,0.00,0.00,330.85,994.40,NA
2019-01-01 15:00:00,161.00,255.00,1.85,14.55,9.27,52.80,33.35,0.43,94.25,1.80,17.25,NA,NA,NA,NA,21.38,0.30,1.27,315.97,0.00,0.00,209.55,994.32,NA
2019-01-01 16:00:00,150.00,263.00,1.23,16.65,9.85,53.43,34.93,0.45,88.65,1.68,18.53,NA,NA,NA,NA,19.93,0.30,1.35,329.27,0.00,0.00,93.48,994.52,NA
2019-01-01 17:00:00,161.00,332.75,18.97,75.72,55.45,57.45,31.77,1.33,21.45,2.10,23.30,NA,NA,NA,NA,17.20,0.30,0.80,14.40,0.00,0.00,12.93,994.55,NA
2019-01-01 18:00:00,NA,508.50,136.87,102.52,164.95,63.80,24.53,3.02,2.85,4.90,56.75,NA,NA,NA,NA,14.53,8.47,0.50,214.30,0.00,0.00,3.05,994.85,NA
2019-01-01 19:00:00,299.00,703.75,257.17,139.60,270.12,64.68,22.00,5.15,4.17,6.80,64.90,NA,NA,NA,NA,13.05,34.13,0.30,191.95,0.00,0.00,3.15,995.20,NA
2019-01-01 20:00:00,570.00,943.00,NA,243.78,NA,72.52,37.45,9.00,4.23,9.47,83.62,NA,NA,NA,NA,13.28,31.15,0.48,175.77,0.00,0.00,3.35,995.38,NA
2019-01-01 21:00:00,534.00,NA,445.90,161.48,446.62,82.65,31.93,7.78,5.93,9.80,101.15,NA,NA,NA,NA,12.78,6.67,0.62,91.72,0.00,0.00,3.57,995.52,NA
