Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,750.25,782.00,365.95,54.60,327.65,58.88,11.95,NA,9.45,13.00,31.20,NA,NA,NA,NA,11.60,91.75,0.60,263.03,0.00,0.00,3.95,994.90,NA
2021-01-01 01:00:00,558.00,737.00,336.08,47.32,299.23,56.03,10.40,5.55,8.40,12.85,30.80,NA,NA,NA,NA,10.58,94.42,0.38,244.72,0.00,0.00,4.12,995.08,NA
2021-01-01 02:00:00,501.75,608.50,371.30,38.60,323.30,50.00,10.10,NA,9.10,12.92,31.25,NA,NA,NA,NA,9.82,94.25,0.60,254.35,0.00,0.00,4.15,994.98,NA
2021-01-01 03:00:00,468.25,605.25,421.82,41.75,366.22,51.30,11.08,NA,9.15,12.82,30.98,NA,NA,NA,NA,8.95,93.98,0.42,287.77,0.00,0.00,4.15,994.80,NA
2021-01-01 04:00:00,417.75,503.00,261.52,32.92,230.52,43.52,9.05,5.08,16.60,12.42,30.22,NA,NA,NA,NA,8.67,93.93,0.70,339.92,0.00,0.00,4.12,994.80,NA
2021-01-01 05:00:00,330.75,383.50,122.55,21.38,111.28,37.08,5.98,3.92,21.12,11.28,29.55,NA,NA,NA,NA,8.50,93.82,0.75,343.28,0.00,0.00,4.10,995.10,NA
2021-01-01 06:00:00,310.00,375.50,118.35,22.85,108.62,38.50,7.58,3.72,19.12,11.12,33.48,NA,NA,NA,NA,9.93,94.05,0.95,342.40,0.00,0.00,3.85,995.50,NA
2021-01-01 07:00:00,379.50,521.75,104.05,32.38,102.02,41.18,9.38,3.68,24.78,11.62,31.72,NA,NA,NA,NA,11.25,94.50,1.27,29.15,0.00,0.00,8.95,996.95,NA
2021-01-01 08:00:00,385.75,551.25,68.75,37.65,76.15,41.75,8.43,3.05,13.92,11.02,28.70,NA,NA,NA,NA,11.68,94.60,1.12,14.08,0.00,0.00,27.28,997.75,NA
2021-01-01 09:00:00,400.50,573.50,60.10,52.02,76.80,46.00,9.18,3.05,10.75,9.92,27.20,NA,NA,NA,NA,12.72,94.60,0.90,77.50,0.00,0.00,80.55,998.40,NA
2021-01-01 10:00:00,585.25,719.00,53.60,103.48,98.70,48.30,11.65,4.10,13.00,10.70,26.02,NA,NA,NA,NA,14.32,88.40,1.22,65.62,0.00,0.00,251.23,998.48,NA
2021-01-01 11:00:00,844.25,NA,28.30,129.55,91.80,54.30,12.42,3.10,18.73,12.20,25.10,NA,NA,NA,NA,15.95,75.45,1.98,45.45,0.00,0.00,353.12,998.10,NA
